SWIS_SBL_ID,PROP_CLASS,zcta,gfa,E_fleet_ev
50240101500000010020000000,471,13053,12249.0,0.058
50240101200000060020000000,591,13053,0.0,0.0
50240101200000060140000000,425,13053,6954.0,0.033
50240101200000060130010000,483,13053,1653.0,0.008
50240101400000030230000000,620,13053,10280.0,0.049
50240101400000010170100000,591,13053,0.0,0.0
50240101900000010020000000,822,13053,0.0,0.0
50240101900000020100020000,695,13053,0.0,0.0
50240101300000010280000000,431,13053,2592.0,0.012
50240101300000010050010000,853,13053,0.0,0.0
50240100800000010100000000,464,13053,2728.0,0.013
50240100900000010010210000,484,13053,5000.0,0.024
50240100800100010010050000,456,13053,8000.0,0.038
50240100800000010020000000,484,13053,5120.0,0.024
50248906400000010290000099,837,13068,0.0,0.0
50248905200000010520000000,613,13068,0.0,0.0
50248905800000010140000000,615,13068,660.0,0.008
50248905200000010420000000,613,13068,0.0,0.0
50248905800000010200000000,871,13068,0.0,0.0
50248905700000010400000000,590,13068,0.0,0.0
50248905200000010570000000,695,13068,0.0,0.0
50248905200000010140020000,455,13068,14302.0,0.182
50248905200000010140010000,486,13068,2528.0,0.032
50248905200000010080020000,442,13068,48000.0,0.611
50248905200000010130000000,870,13068,185195.0,2.359
50248905200000010490040000,449,13068,4000.0,0.051
50248905200000010490010000,465,13068,5740.0,0.073
50248903000000010050210000,555,13068,16000.0,0.204
50248903000000010010030000,822,13068,0.0,0.0
50248902100000010430000000,433,13068,5100.0,0.065
50248905200000010490030000,433,13068,1200.0,0.015
50248904000000010340010000,591,13068,0.0,0.0
50248903900000010010000000,712,13068,60000.0,0.764
50248903200000010210000000,555,13068,16888.0,0.215
50248903900000010120130000,449,13068,13605.0,0.173
50248903400000020030030000,449,13068,29816.0,0.38
50248903300000010240000000,591,13068,0.0,0.0
50248903300000010220000000,591,13068,0.0,0.0
50248902800000010020010000,852,13068,0.0,0.0
50248902400000010160040000,720,13068,0.0,0.0
50248902500000010090000000,486,13068,2700.0,0.034
50248902700000010270020000,440,13068,15318.0,0.195
50248902700000010270010000,613,13068,0.0,0.0
50248903500000010070030000,720,13068,0.0,0.0
50248903500000010130010000,720,13068,0.0,0.0
50248903500000010110140000,720,13068,0.0,0.0
50248903600000010120050000,447,13068,5700.0,0.073
50248903800000010070010000,485,13068,4506.0,0.057
50248903800000010230220000,615,13068,0.0,0.0
50248903800000010180040000,433,13068,1944.0,0.025
50248903800000010010000000,615,13068,0.0,0.0
50248903800000010230210000,615,13068,0.0,0.0
50248903500000010030020000,615,13068,13032.0,0.166
50248903900000010220020000,449,13068,22080.0,0.281
50248903900000010220050000,440,13068,20248.0,0.258
50248903900000010140020000,485,13068,4358.0,0.056
50248903900000010150000000,455,13068,2388.0,0.03
50248903900000010160000000,433,13068,11054.0,0.141
50248903900000010170310000,484,13068,2400.0,0.031
50248904600000010950000000,714,13068,8400.0,0.107
50248903900000010170410000,484,13068,1560.0,0.02
50248903900000010170050000,449,13068,4970.0,0.063
50248903900000010180020000,620,13068,8736.0,0.111
50248903900000010190000000,534,13068,0.0,0.0
50248903900000010200000000,720,13068,0.0,0.0
50248903800000010050000000,695,13068,0.0,0.0
50248904700000010010380000,465,13068,3676.0,0.047
50248904700000010010010000,433,13068,3336.0,0.042
50248904600000010691910000,465,13068,3300.0,0.042
50248904600000010691620000,456,13068,18420.0,0.235
50248903900000010280040000,472,13068,2183.0,0.028
50248903900000010280020000,695,13068,0.0,0.0
50248904600000010691610000,440,13068,3600.0,0.046
50248904600000010690170000,442,13068,16560.0,0.211
50248904600000010560010000,820,13068,0.0,0.0
50248904600000010040210000,464,13068,4160.0,0.053
50248904600000010360070000,522,13068,468.0,0.006
50248904600000010140310000,464,13068,16000.0,0.204
50248904600000010020030000,620,13068,12399.0,0.158
50248904600000010150020000,425,13068,5097.0,0.065
50248905100000010010000000,613,13068,0.0,0.0
50248904400000010260000000,474,13068,0.0,0.0
50248905200000010510010099,833,13068,1008.0,0.013
50248905100000010020000000,613,13068,0.0,0.0
50248905200000010530000000,613,13068,0.0,0.0
50248905200000010530000991,837,13068,0.0,0.0
50248905200000010530000992,837,13068,0.0,0.0
50248905900000010020000000,613,13068,0.0,0.0
50248905100000010200520000,555,13068,21600.0,0.275
50248905000000010330510000,714,13068,672.0,0.009
50248906000000010070000099,837,13068,0.0,0.0
50248906300000010150510000,438,13068,0.0,0.0
50248906300000010150030000,581,13068,0.0,0.0
50248902600000010230000000,441,13068,1963.0,0.025
50240300500000040050000000,433,13068,1950.0,0.025
50240300100000020010630000,472,13068,2740.0,0.035
50240300400000020010000000,591,13068,0.0,0.0
50240300100000010040000000,591,13068,0.0,0.0
50240300400000010090000000,464,13068,1980.0,0.025
50240300400000010080000000,620,13068,0.0,0.0
50240300400000020110000000,485,13068,3610.0,0.046
50240300400000020190000000,483,13068,2506.0,0.032
50240300500000020080000000,612,13068,12480.0,0.159
50240300500000020090000000,620,13068,2072.0,0.026
50240300500000020280000000,440,13068,6528.0,0.083
50240300400000040120000000,710,13068,3720.0,0.047
50240300400000040010000000,483,13068,1998.0,0.025
50240300400000040110000000,662,13068,8074.0,0.103
50240300400000040100000000,590,13068,0.0,0.0
50240300400000050110220000,591,13068,0.0,0.0
50240300400000050180000000,485,13068,6092.0,0.078
50240300300000020040000000,652,13068,1800.0,0.023
50240300300000020050030000,651,13068,2400.0,0.031
50240300300000020080220000,433,13068,1792.0,0.023
50240300300000010050020000,620,13068,1248.0,0.016
50240300400000050110110000,633,13068,23662.0,0.301
50240300400000050080000000,831,13068,0.0,0.0
50240300100000020010640000,465,13068,2508.0,0.032
50240300100000020016110000,449,13068,4236.0,0.054
50240300300000020050010000,650,13068,0.0,0.0
50240300300000020050020000,650,13068,0.0,0.0
50240300700000010020010000,853,13068,0.0,0.0
50240300700000010020020000,612,13068,6960.0,0.089
50288903600000010210010000,449,13068,3819.0,0.049
50288903700000010010220000,552,13068,3968.0,0.051
50288903800000080150020000,431,13068,2636.0,0.034
50288903800000080140010000,431,13068,5600.0,0.071
50288903800000080160000000,612,13068,13390.0,0.171
50288903800000080090000000,662,13068,10406.0,0.133
50248902100000010020040000,440,13073,1728.0,0.007
50248902200000010060030000,484,13073,1680.0,0.007
50288901800000010040000000,620,13073,2600.0,0.01
50288901700000010040010000,449,13073,19200.0,0.075
50288901900000010100000099,837,13073,0.0,0.0
50288902800000010030020000,440,13073,3200.0,0.012
50288902800000010290020000,522,13073,0.0,0.0
50288902800000010070010000,873,13073,0.0,0.0
50288902000000010380000000,695,13073,0.0,0.0
50288902000000010360110000,472,13073,3112.0,0.012
50288902000000010350000000,440,13073,4608.0,0.018
50288902700000010270000000,557,13073,2976.0,0.012
50288902000000010240000000,822,13073,0.0,0.0
50288912100000010200120000,710,13073,7400.0,0.029
50288912100000010200110000,433,13073,2700.0,0.01
50288912100000010200040000,433,13073,1920.0,0.007
50288912100000010200030000,433,13073,2304.0,0.009
50288912100000010200060000,442,13073,7200.0,0.028
50288902700000010280030000,822,13073,0.0,0.0
