scenario,year,five_year_intervals,county,subsector,value
ldv_sales_evs_2035,2012.0,2040,36109,phev_compact,9783.48002159412
ldv_sales_evs_2035,2012.0,2040,36109,phev_midsize,23608.11063436077
ldv_sales_evs_2035,2012.0,2040,36109,phev_pickup,18911.361784406978
ldv_sales_evs_2035,2012.0,2040,36109,phev_suv,63181.05283989471
ldv_sales_evs_2035,2012.0,2045,36109,bev_compact,14192.00374949825
ldv_sales_evs_2035,2012.0,2045,36109,bev_midsize,40771.875733666006
ldv_sales_evs_2035,2012.0,2045,36109,bev_pickup,29005.892289505548
ldv_sales_evs_2035,2012.0,2045,36109,bev_suv,82010.96486167902
ldv_sales_evs_2035,2012.0,2045,36109,phev_compact,9078.145918186041
ldv_sales_evs_2035,2012.0,2045,36109,phev_midsize,23930.644493737476
ldv_sales_evs_2035,2012.0,2045,36109,phev_pickup,16094.99756744225
ldv_sales_evs_2035,2012.0,2045,36109,phev_suv,52192.284691563036
ldv_sales_evs_2035,2012.0,2050,36109,bev_compact,21579.478770214504
ldv_sales_evs_2035,2012.0,2050,36109,bev_midsize,56485.17462444883
ldv_sales_evs_2035,2012.0,2050,36109,bev_pickup,38800.09095084316
ldv_sales_evs_2035,2012.0,2050,36109,bev_suv,125353.37794820749
ldv_sales_evs_2035,2012.0,2050,36109,phev_compact,5629.4430716875095
ldv_sales_evs_2035,2012.0,2050,36109,phev_midsize,19371.377912868164
ldv_sales_evs_2035,2012.0,2050,36109,phev_pickup,11797.216970734942
ldv_sales_evs_2035,2012.0,2050,36109,phev_suv,42941.31069427091
reference,2012.0,2025,36109,bev_compact,1020.1928609088475
reference,2012.0,2025,36109,bev_midsize,2833.8875857977187
reference,2012.0,2025,36109,bev_pickup,3027.599298911558
reference,2012.0,2025,36109,bev_suv,5258.267634347849
reference,2012.0,2025,36109,phev_compact,661.6847056636514
reference,2012.0,2025,36109,phev_midsize,2653.008835074297
reference,2012.0,2025,36109,phev_pickup,2667.1213077004777
