tenure,E_ev,E_ev_model,E_ev_uniform,E_ev_vehicles,E_ev_individual,E_ev_prior
own,0.7197,0.6419,0.5907,0.6426,0.7974,0.8962
rent,0.2803,0.3581,0.4093,0.3574,0.2026,0.1038
