dataset,port_type,day_type,hour,energy_share
dundee_public,L2,weekend,14,0.0844
dundee_public,L2,weekend,15,0.0775
dundee_public,L2,weekend,16,0.0636
dundee_public,L2,weekend,17,0.0481
dundee_public,L2,weekend,18,0.0403
dundee_public,L2,weekend,19,0.0365
dundee_public,L2,weekend,20,0.034
dundee_public,L2,weekend,21,0.0311
dundee_public,L2,weekend,22,0.0242
dundee_public,L2,weekend,23,0.0189
dundee_public,other,weekday,0,0.022
dundee_public,other,weekday,1,0.0189
dundee_public,other,weekday,2,0.0149
dundee_public,other,weekday,3,0.0187
dundee_public,other,weekday,4,0.0197
dundee_public,other,weekday,5,0.0245
dundee_public,other,weekday,6,0.0234
dundee_public,other,weekday,7,0.0315
dundee_public,other,weekday,8,0.045
dundee_public,other,weekday,9,0.0414
dundee_public,other,weekday,10,0.0489
dundee_public,other,weekday,11,0.0581
dundee_public,other,weekday,12,0.0693
dundee_public,other,weekday,13,0.0627
dundee_public,other,weekday,14,0.0641
dundee_public,other,weekday,15,0.0665
dundee_public,other,weekday,16,0.0585
dundee_public,other,weekday,17,0.0522
dundee_public,other,weekday,18,0.0558
dundee_public,other,weekday,19,0.0523
dundee_public,other,weekday,20,0.0454
dundee_public,other,weekday,21,0.0394
dundee_public,other,weekday,22,0.0382
dundee_public,other,weekday,23,0.0284
dundee_public,other,weekend,0,0.027
dundee_public,other,weekend,1,0.0337
dundee_public,other,weekend,2,0.0256
dundee_public,other,weekend,3,0.0172
dundee_public,other,weekend,4,0.0274
dundee_public,other,weekend,5,0.0277
dundee_public,other,weekend,6,0.0212
dundee_public,other,weekend,7,0.0252
dundee_public,other,weekend,8,0.0321
dundee_public,other,weekend,9,0.0389
dundee_public,other,weekend,10,0.0462
dundee_public,other,weekend,11,0.0504
dundee_public,other,weekend,12,0.0657
dundee_public,other,weekend,13,0.0544
dundee_public,other,weekend,14,0.0521
dundee_public,other,weekend,15,0.0635
dundee_public,other,weekend,16,0.0658
dundee_public,other,weekend,17,0.0657
dundee_public,other,weekend,18,0.0544
dundee_public,other,weekend,19,0.0493
dundee_public,other,weekend,20,0.0523
dundee_public,other,weekend,21,0.0459
dundee_public,other,weekend,22,0.0278
dundee_public,other,weekend,23,0.0303
norway_residential_7kW,L2_home,weekday,0,0.055
norway_residential_7kW,L2_home,weekday,1,0.0386
norway_residential_7kW,L2_home,weekday,2,0.0259
norway_residential_7kW,L2_home,weekday,3,0.0182
norway_residential_7kW,L2_home,weekday,4,0.0159
norway_residential_7kW,L2_home,weekday,5,0.0094
norway_residential_7kW,L2_home,weekday,6,0.0051
norway_residential_7kW,L2_home,weekday,7,0.0053
norway_residential_7kW,L2_home,weekday,8,0.0093
norway_residential_7kW,L2_home,weekday,9,0.0126
norway_residential_7kW,L2_home,weekday,10,0.015
norway_residential_7kW,L2_home,weekday,11,0.0185
norway_residential_7kW,L2_home,weekday,12,0.0215
norway_residential_7kW,L2_home,weekday,13,0.0238
norway_residential_7kW,L2_home,weekday,14,0.0325
norway_residential_7kW,L2_home,weekday,15,0.0495
norway_residential_7kW,L2_home,weekday,16,0.0743
norway_residential_7kW,L2_home,weekday,17,0.0857
norway_residential_7kW,L2_home,weekday,18,0.0801
norway_residential_7kW,L2_home,weekday,19,0.0794
norway_residential_7kW,L2_home,weekday,20,0.0827
norway_residential_7kW,L2_home,weekday,21,0.0863
norway_residential_7kW,L2_home,weekday,22,0.083
norway_residential_7kW,L2_home,weekday,23,0.0723
norway_residential_7kW,L2_home,weekend,0,0.0562
norway_residential_7kW,L2_home,weekend,1,0.0463
norway_residential_7kW,L2_home,weekend,2,0.034
norway_residential_7kW,L2_home,weekend,3,0.0263
norway_residential_7kW,L2_home,weekend,4,0.0217
norway_residential_7kW,L2_home,weekend,5,0.0158
norway_residential_7kW,L2_home,weekend,6,0.0098
norway_residential_7kW,L2_home,weekend,7,0.0079
norway_residential_7kW,L2_home,weekend,8,0.0098
norway_residential_7kW,L2_home,weekend,9,0.0106
norway_residential_7kW,L2_home,weekend,10,0.0122
norway_residential_7kW,L2_home,weekend,11,0.0191
norway_residential_7kW,L2_home,weekend,12,0.0258
norway_residential_7kW,L2_home,weekend,13,0.0343
norway_residential_7kW,L2_home,weekend,14,0.0429
norway_residential_7kW,L2_home,weekend,15,0.0533
norway_residential_7kW,L2_home,weekend,16,0.0636
norway_residential_7kW,L2_home,weekend,17,0.0695
norway_residential_7kW,L2_home,weekend,18,0.0749
norway_residential_7kW,L2_home,weekend,19,0.0792
norway_residential_7kW,L2_home,weekend,20,0.0808
norway_residential_7kW,L2_home,weekend,21,0.0735
norway_residential_7kW,L2_home,weekend,22,0.0694
norway_residential_7kW,L2_home,weekend,23,0.0632
norway_residential,L2_home,weekday,0,0.0602
norway_residential,L2_home,weekday,1,0.0491
norway_residential,L2_home,weekday,2,0.0402
norway_residential,L2_home,weekday,3,0.0332
norway_residential,L2_home,weekday,4,0.0287
norway_residential,L2_home,weekday,5,0.0242
norway_residential,L2_home,weekday,6,0.0177
norway_residential,L2_home,weekday,7,0.0121
norway_residential,L2_home,weekday,8,0.0118
norway_residential,L2_home,weekday,9,0.0137
norway_residential,L2_home,weekday,10,0.0155
norway_residential,L2_home,weekday,11,0.0179
norway_residential,L2_home,weekday,12,0.0209
norway_residential,L2_home,weekday,13,0.0228
norway_residential,L2_home,weekday,14,0.0277
norway_residential,L2_home,weekday,15,0.0396
norway_residential,L2_home,weekday,16,0.0585
norway_residential,L2_home,weekday,17,0.0693
norway_residential,L2_home,weekday,18,0.0684
norway_residential,L2_home,weekday,19,0.0701
norway_residential,L2_home,weekday,20,0.0738
norway_residential,L2_home,weekday,21,0.0769
norway_residential,L2_home,weekday,22,0.0767
norway_residential,L2_home,weekday,23,0.0711
norway_residential,L2_home,weekend,0,0.0554
norway_residential,L2_home,weekend,1,0.0505
norway_residential,L2_home,weekend,2,0.0447
norway_residential,L2_home,weekend,3,0.0384
norway_residential,L2_home,weekend,4,0.034
norway_residential,L2_home,weekend,5,0.0298
norway_residential,L2_home,weekend,6,0.0238
norway_residential,L2_home,weekend,7,0.0179
norway_residential,L2_home,weekend,8,0.0154
norway_residential,L2_home,weekend,9,0.0153
norway_residential,L2_home,weekend,10,0.0158
norway_residential,L2_home,weekend,11,0.0193
norway_residential,L2_home,weekend,12,0.0245
norway_residential,L2_home,weekend,13,0.0304
norway_residential,L2_home,weekend,14,0.0364
norway_residential,L2_home,weekend,15,0.0443
norway_residential,L2_home,weekend,16,0.0516
norway_residential,L2_home,weekend,17,0.0572
norway_residential,L2_home,weekend,18,0.0634
norway_residential,L2_home,weekend,19,0.0673
norway_residential,L2_home,weekend,20,0.0697
norway_residential,L2_home,weekend,21,0.0682
norway_residential,L2_home,weekend,22,0.0656
norway_residential,L2_home,weekend,23,0.061
palo_alto_public,L1,weekday,0,0.0057
palo_alto_public,L1,weekday,1,0.0056
palo_alto_public,L1,weekday,2,0.0054
palo_alto_public,L1,weekday,3,0.0054
palo_alto_public,L1,weekday,4,0.0053
palo_alto_public,L1,weekday,5,0.0051
palo_alto_public,L1,weekday,6,0.0089
palo_alto_public,L1,weekday,7,0.0294
palo_alto_public,L1,weekday,8,0.0722
palo_alto_public,L1,weekday,9,0.1287
palo_alto_public,L1,weekday,10,0.1305
palo_alto_public,L1,weekday,11,0.1057
palo_alto_public,L1,weekday,12,0.088
palo_alto_public,L1,weekday,13,0.0781
palo_alto_public,L1,weekday,14,0.0666
palo_alto_public,L1,weekday,15,0.0549
palo_alto_public,L1,weekday,16,0.0435
palo_alto_public,L1,weekday,17,0.0416
palo_alto_public,L1,weekday,18,0.0359
palo_alto_public,L1,weekday,19,0.0285
palo_alto_public,L1,weekday,20,0.0226
palo_alto_public,L1,weekday,21,0.016
palo_alto_public,L1,weekday,22,0.0101
palo_alto_public,L1,weekday,23,0.0063
palo_alto_public,L1,weekend,0,0.013
palo_alto_public,L1,weekend,1,0.0111
palo_alto_public,L1,weekend,2,0.0082
palo_alto_public,L1,weekend,3,0.0081
palo_alto_public,L1,weekend,4,0.0081
palo_alto_public,L1,weekend,5,0.0081
palo_alto_public,L1,weekend,6,0.0083
palo_alto_public,L1,weekend,7,0.0114
