source,dimension,level,indicator,n,k,share_unweighted,wilson95_lo,wilson95_hi,n_weighted,share_weighted,boot95_lo,boot95_hi,kish_n_eff,share_weighted_by_units,boot95_units_lo,boot95_units_hi
general_survey gfhm-wz4s,units_class,5-9,park_offstreet,491,236,0.4807,0.4368,0.5248,367,0.3447,0.2934,0.3974,266.5178,0.3358,0.2827,0.3899
general_survey gfhm-wz4s,units_class,5-9,park_garage,491,44,0.0896,0.0674,0.1182,367,0.0662,0.042,0.0923,266.5178,0.0617,0.0391,0.0859
general_survey gfhm-wz4s,units_class,5-9,park_open_lot,491,208,0.4236,0.3807,0.4678,367,0.3009,0.2546,0.351,266.5178,0.2957,0.2496,0.3436
general_survey gfhm-wz4s,units_class,5-9,park_street_only,491,3,0.0061,0.0021,0.0178,367,0.0055,0.0,0.0132,266.5178,0.0055,0.0,0.0131
general_survey gfhm-wz4s,units_class,5-9,ev_charging,491,2,0.0041,0.0011,0.0147,367,0.0037,0.0,0.0104,266.5178,0.0044,0.0,0.0119
general_survey gfhm-wz4s,units_class,50-99,park_any_amenity,189,108,0.5714,0.5001,0.6399,142,0.5357,0.4347,0.6404,87.5283,0.5566,0.4555,0.6591
general_survey gfhm-wz4s,units_class,50-99,park_offstreet,189,99,0.5238,0.4528,0.5938,142,0.4894,0.3902,0.5925,87.5283,0.5104,0.4106,0.613
general_survey gfhm-wz4s,units_class,50-99,park_garage,189,43,0.2275,0.1735,0.2924,142,0.251,0.1679,0.3595,87.5283,0.2587,0.1701,0.3692
general_survey gfhm-wz4s,units_class,50-99,park_open_lot,189,72,0.381,0.3147,0.4519,142,0.3567,0.2636,0.4522,87.5283,0.3701,0.2697,0.4728
general_survey gfhm-wz4s,units_class,50-99,park_street_only,189,9,0.0476,0.0253,0.088,142,0.0463,0.0189,0.0828,87.5283,0.0462,0.0191,0.0817
general_survey gfhm-wz4s,units_class,50-99,ev_charging,189,12,0.0635,0.0367,0.1077,142,0.0629,0.0187,0.1258,87.5283,0.0689,0.0215,0.1341
general_survey gfhm-wz4s,own,Affordable census block/NOAH,park_any_amenity,219,119,0.5434,0.4772,0.608,219,0.405,0.341,0.4763,177.9022,0.7318,0.5661,0.8428
general_survey gfhm-wz4s,own,Affordable census block/NOAH,park_offstreet,219,114,0.5205,0.4546,0.5858,219,0.3854,0.3249,0.4539,177.9022,0.7204,0.5422,0.8287
general_survey gfhm-wz4s,own,Affordable census block/NOAH,park_garage,219,29,0.1324,0.0938,0.1837,219,0.1043,0.0672,0.1478,177.9022,0.4251,0.1356,0.6282
general_survey gfhm-wz4s,own,Affordable census block/NOAH,park_open_lot,219,105,0.4795,0.4142,0.5454,219,0.3546,0.2883,0.4212,177.9022,0.7082,0.5155,0.8203
general_survey gfhm-wz4s,own,Affordable census block/NOAH,park_street_only,219,5,0.0228,0.0098,0.0523,219,0.0196,0.0043,0.0411,177.9022,0.0113,0.0007,0.0313
general_survey gfhm-wz4s,own,Affordable census block/NOAH,ev_charging,219,6,0.0274,0.0126,0.0585,219,0.0203,0.0049,0.0407,177.9022,0.0185,0.0014,0.0602
general_survey gfhm-wz4s,own,Affordable subsidized,park_any_amenity,250,116,0.464,0.4032,0.5259,250,0.3384,0.2735,0.3984,204.5704,0.4421,0.3464,0.5317
general_survey gfhm-wz4s,own,Affordable subsidized,park_offstreet,250,111,0.444,0.3837,0.506,250,0.3274,0.27,0.3884,204.5704,0.4027,0.3145,0.4908
general_survey gfhm-wz4s,own,Affordable subsidized,park_garage,250,17,0.068,0.0429,0.1062,250,0.058,0.0308,0.0913,204.5704,0.1145,0.0452,0.1862
general_survey gfhm-wz4s,own,Affordable subsidized,park_open_lot,250,98,0.392,0.3336,0.4537,250,0.2881,0.2328,0.3492,204.5704,0.3295,0.2525,0.4122
general_survey gfhm-wz4s,own,Affordable subsidized,park_street_only,250,5,0.02,0.0086,0.046,250,0.011,0.0025,0.0223,204.5704,0.0394,0.0043,0.0875
general_survey gfhm-wz4s,own,Affordable subsidized,ev_charging,250,2,0.008,0.0022,0.0287,250,0.0073,0.0,0.0208,204.5704,0.0157,0.0,0.0428
general_survey gfhm-wz4s,own,Co-op/condo,park_any_amenity,187,114,0.6096,0.5382,0.6767,187,0.5482,0.471,0.6313,154.4975,0.6732,0.5738,0.7661
general_survey gfhm-wz4s,own,Co-op/condo,park_offstreet,187,96,0.5134,0.4422,0.584,187,0.469,0.3846,0.5504,154.4975,0.6013,0.4814,0.7003
general_survey gfhm-wz4s,own,Co-op/condo,park_garage,187,66,0.3529,0.288,0.4238,187,0.3393,0.2669,0.4174,154.4975,0.4448,0.3209,0.5538
general_survey gfhm-wz4s,own,Co-op/condo,park_open_lot,187,56,0.2995,0.2384,0.3686,187,0.2518,0.1862,0.3192,154.4975,0.3621,0.2475,0.4659
general_survey gfhm-wz4s,own,Co-op/condo,park_street_only,187,18,0.0963,0.0618,0.147,187,0.0791,0.0451,0.1225,154.4975,0.0719,0.0381,0.1189
general_survey gfhm-wz4s,own,Co-op/condo,ev_charging,187,5,0.0267,0.0115,0.0611,187,0.0205,0.0036,0.0424,154.4975,0.0326,0.0031,0.0763
general_survey gfhm-wz4s,own,Market-rate rental,park_any_amenity,365,191,0.5233,0.4721,0.574,365,0.4134,0.3582,0.4687,294.7283,0.6748,0.5668,0.7567
general_survey gfhm-wz4s,own,Market-rate rental,park_offstreet,365,189,0.5178,0.4666,0.5686,365,0.4078,0.3552,0.4659,294.7283,0.6429,0.5282,0.7364
general_survey gfhm-wz4s,own,Market-rate rental,park_garage,365,69,0.189,0.1522,0.2324,365,0.1794,0.1371,0.2243,294.7283,0.4073,0.2746,0.5414
general_survey gfhm-wz4s,own,Market-rate rental,park_open_lot,365,154,0.4219,0.3723,0.4731,365,0.3172,0.2689,0.37,294.7283,0.5344,0.4228,0.6385
general_survey gfhm-wz4s,own,Market-rate rental,park_street_only,365,2,0.0055,0.0015,0.0198,365,0.0055,0.0,0.0163,294.7283,0.0319,0.0,0.0983
general_survey gfhm-wz4s,own,Market-rate rental,ev_charging,365,9,0.0247,0.013,0.0462,365,0.0171,0.0065,0.0309,294.7283,0.0521,0.012,0.1183
general_survey gfhm-wz4s,region,ConEd,park_any_amenity,462,91,0.197,0.1633,0.2357,462,0.1602,0.1228,0.1996,340.0132,0.4009,0.2613,0.5524
general_survey gfhm-wz4s,region,ConEd,park_offstreet,462,87,0.1883,0.1553,0.2265,462,0.1531,0.1183,0.1922,340.0132,0.3929,0.2496,0.5361
general_survey gfhm-wz4s,region,ConEd,park_garage,462,50,0.1082,0.0831,0.1399,462,0.0859,0.0612,0.1125,340.0132,0.2952,0.1476,0.4333
general_survey gfhm-wz4s,region,ConEd,park_open_lot,462,54,0.1169,0.0907,0.1494,462,0.0966,0.0672,0.126,340.0132,0.3063,0.1558,0.4693
general_survey gfhm-wz4s,region,ConEd,park_street_only,462,4,0.0087,0.0034,0.022,462,0.007,0.0004,0.017,340.0132,0.008,0.0,0.0181
general_survey gfhm-wz4s,region,ConEd,ev_charging,462,5,0.0108,0.0046,0.0251,462,0.0105,0.0018,0.0228,340.0132,0.0222,0.0047,0.0486
general_survey gfhm-wz4s,region,PSEG-LI,park_any_amenity,56,47,0.8393,0.7219,0.9131,56,0.8036,0.6706,0.9253,44.6038,0.911,0.7965,0.9766
general_survey gfhm-wz4s,region,PSEG-LI,park_offstreet,56,45,0.8036,0.6816,0.8866,56,0.7645,0.6291,0.8815,44.6038,0.8524,0.6882,0.9619
general_survey gfhm-wz4s,region,PSEG-LI,park_garage,56,22,0.3929,0.2758,0.5237,56,0.4757,0.3305,0.6103,44.6038,0.6902,0.4549,0.8654
general_survey gfhm-wz4s,region,PSEG-LI,park_open_lot,56,34,0.6071,0.4763,0.7242,56,0.5665,0.418,0.722,44.6038,0.7332,0.5119,0.8819
general_survey gfhm-wz4s,region,PSEG-LI,park_street_only,56,2,0.0357,0.0098,0.1212,56,0.0391,0.0,0.0982,44.6038,0.0586,0.0,0.1853
general_survey gfhm-wz4s,region,PSEG-LI,ev_charging,56,0,0.0,0.0,0.0642,56,0.0,0.0,0.0,44.6038,0.0,0.0,0.0
general_survey gfhm-wz4s,region,CenHud+O&R,park_any_amenity,86,82,0.9535,0.8864,0.9818,86,0.941,0.876,0.9924,71.7963,0.984,0.959,0.9991
general_survey gfhm-wz4s,region,CenHud+O&R,park_offstreet,86,74,0.8605,0.7718,0.9183,86,0.8731,0.7984,0.9436,71.7963,0.9341,0.8769,0.9744
general_survey gfhm-wz4s,region,CenHud+O&R,park_garage,86,27,0.314,0.2256,0.4182,86,0.3063,0.2043,0.4195,71.7963,0.3351,0.1518,0.5159
general_survey gfhm-wz4s,region,CenHud+O&R,park_open_lot,86,66,0.7674,0.6679,0.8441,86,0.7831,0.6873,0.8657,71.7963,0.8888,0.8077,0.9447
general_survey gfhm-wz4s,region,CenHud+O&R,park_street_only,86,8,0.093,0.0479,0.173,86,0.0679,0.0233,0.1215,71.7963,0.0499,0.0165,0.1031
general_survey gfhm-wz4s,region,CenHud+O&R,ev_charging,86,3,0.0349,0.0119,0.0976,86,0.0261,0.0,0.0649,71.7963,0.1079,0.0,0.2986
general_survey gfhm-wz4s,region,NationalGrid,park_any_amenity,204,160,0.7843,0.7229,0.8352,204,0.7712,0.7021,0.8379,162.3976,0.8458,0.7607,0.9174
general_survey gfhm-wz4s,region,NationalGrid,park_offstreet,204,150,0.7353,0.6708,0.7911,204,0.7411,0.67,0.8016,162.3976,0.7651,0.667,0.8487
general_survey gfhm-wz4s,region,NationalGrid,park_garage,204,29,0.1422,0.1008,0.1967,204,0.1426,0.0971,0.198,162.3976,0.238,0.1343,0.3652
general_survey gfhm-wz4s,region,NationalGrid,park_open_lot,204,136,0.6667,0.5994,0.7277,204,0.6725,0.5988,0.7411,162.3976,0.6293,0.5073,0.7394
general_survey gfhm-wz4s,region,NationalGrid,park_street_only,204,10,0.049,0.0268,0.0879,204,0.0301,0.0123,0.0515,162.3976,0.0807,0.0251,0.1529
general_survey gfhm-wz4s,region,NationalGrid,ev_charging,204,5,0.0245,0.0105,0.0561,204,0.0243,0.0048,0.0499,162.3976,0.0545,0.0055,0.1206
general_survey gfhm-wz4s,region,NYSEG+RG&E,park_any_amenity,213,160,0.7512,0.689,0.8044,213,0.7675,0.7011,0.8228,175.9159,0.8641,0.806,0.9074
general_survey gfhm-wz4s,region,NYSEG+RG&E,park_offstreet,213,154,0.723,0.6594,0.7787,213,0.7411,0.6822,0.805,175.9159,0.8381,0.7741,0.8858
general_survey gfhm-wz4s,region,NYSEG+RG&E,park_garage,213,53,0.2488,0.1956,0.311,213,0.2593,0.1988,0.3285,175.9159,0.3872,0.2633,0.5093
general_survey gfhm-wz4s,region,NYSEG+RG&E,park_open_lot,213,123,0.5775,0.5103,0.6419,213,0.6025,0.5312,0.6794,175.9159,0.6798,0.5721,0.7738
general_survey gfhm-wz4s,region,NYSEG+RG&E,park_street_only,213,6,0.0282,0.013,0.0601,213,0.0264,0.0071,0.0532,175.9159,0.026,0.0038,0.0631
general_survey gfhm-wz4s,region,NYSEG+RG&E,ev_charging,213,9,0.0423,0.0224,0.0783,213,0.0567,0.0214,0.0996,175.9159,0.0712,0.0135,0.1461
general_survey gfhm-wz4s,region,Upstate (NationalGrid+NYSEG+RG&E),park_any_amenity,417,320,0.7674,0.7245,0.8054,417,0.7693,0.7234,0.8143,337.7628,0.855,0.8047,0.8981
general_survey gfhm-wz4s,region,Upstate (NationalGrid+NYSEG+RG&E),park_offstreet,417,304,0.729,0.6844,0.7694,417,0.7411,0.6928,0.7862,337.7628,0.8019,0.7356,0.8569
general_survey gfhm-wz4s,region,Upstate (NationalGrid+NYSEG+RG&E),park_garage,417,82,0.1966,0.1613,0.2375,417,0.2009,0.1604,0.2449,337.7628,0.3132,0.2178,0.4031
general_survey gfhm-wz4s,region,Upstate (NationalGrid+NYSEG+RG&E),park_open_lot,417,259,0.6211,0.5736,0.6664,417,0.6375,0.5849,0.6876,337.7628,0.6547,0.5664,0.7281
general_survey gfhm-wz4s,region,Upstate (NationalGrid+NYSEG+RG&E),park_street_only,417,16,0.0384,0.0238,0.0614,417,0.0282,0.0138,0.0448,337.7628,0.0531,0.0216,0.0903
general_survey gfhm-wz4s,region,Upstate (NationalGrid+NYSEG+RG&E),ev_charging,417,14,0.0336,0.0201,0.0556,417,0.0405,0.0198,0.0647,337.7628,0.0629,0.024,0.1125
general_survey gfhm-wz4s,vintage,1940-1978,park_any_amenity,396,289,0.7298,0.684,0.7712,302,0.6708,0.601,0.7428,204.3588,0.8191,0.7474,0.882
general_survey gfhm-wz4s,vintage,1940-1978,park_offstreet,396,280,0.7071,0.6604,0.7497,302,0.6494,0.5821,0.7136,204.3588,0.7968,0.7156,0.8628
general_survey gfhm-wz4s,vintage,1940-1978,park_garage,396,82,0.2071,0.1701,0.2497,302,0.1948,0.1404,0.2495,204.3588,0.3549,0.2415,0.4806
general_survey gfhm-wz4s,vintage,1940-1978,park_open_lot,396,237,0.5985,0.5495,0.6456,302,0.5533,0.4875,0.6242,204.3588,0.6858,0.5743,0.7728
general_survey gfhm-wz4s,vintage,1940-1978,park_street_only,396,9,0.0227,0.012,0.0426,302,0.0214,0.0068,0.0404,204.3588,0.0222,0.0077,0.0413
general_survey gfhm-wz4s,vintage,1940-1978,ev_charging,396,10,0.0253,0.0138,0.0459,302,0.0153,0.0035,0.0309,204.3588,0.0427,0.0025,0.1087
general_survey gfhm-wz4s,vintage,1979-2006,park_any_amenity,212,130,0.6132,0.5462,0.6762,146,0.5931,0.4856,0.6887,91.9329,0.8044,0.6723,0.8802
