source,dimension,level,indicator,n,k,share_unweighted,wilson95_lo,wilson95_hi,n_weighted,share_weighted,boot95_lo,boot95_hi,kish_n_eff,share_weighted_by_units,boot95_units_lo,boot95_units_hi
site_visits qwyr-7esw,size,4-7 floors,svc_has_208V,129,43,0.3333,0.2578,0.4185,120,0.2768,0.1917,0.3708,84.1869,,,
site_visits qwyr-7esw,size,8+ floors,sv_onsite_parking,73,40,0.5479,0.4342,0.6569,69,0.4832,0.3492,0.6292,47.3675,,,
site_visits qwyr-7esw,size,8+ floors,sv_open_lot,73,21,0.2877,0.1965,0.4001,69,0.1499,0.0717,0.257,47.3675,,,
site_visits qwyr-7esw,size,8+ floors,sv_covered_lot,73,4,0.0548,0.0215,0.1326,69,0.012,0.002,0.028,47.3675,,,
site_visits qwyr-7esw,size,8+ floors,sv_garage,73,17,0.2329,0.1508,0.3417,69,0.3235,0.1854,0.4549,47.3675,,,
site_visits qwyr-7esw,size,8+ floors,sv_ev_plugin,73,2,0.0274,0.0075,0.0945,69,0.0507,0.0,0.1253,47.3675,,,
site_visits qwyr-7esw,size,8+ floors,svc_has_208V,68,45,0.6618,0.5434,0.7629,64,0.5346,0.3896,0.6935,42.8518,,,
site_visits qwyr-7esw,own,Affordable census block/NOAH,sv_onsite_parking,83,53,0.6386,0.5312,0.7337,81,0.4767,0.3662,0.5967,63.0908,,,
site_visits qwyr-7esw,own,Affordable census block/NOAH,sv_open_lot,83,48,0.5783,0.4709,0.6788,81,0.4064,0.3017,0.5272,63.0908,,,
site_visits qwyr-7esw,own,Affordable census block/NOAH,sv_covered_lot,83,2,0.0241,0.0066,0.0837,81,0.0186,0.0,0.051,63.0908,,,
site_visits qwyr-7esw,own,Affordable census block/NOAH,sv_garage,83,6,0.0723,0.0335,0.1489,81,0.0796,0.0215,0.1554,63.0908,,,
site_visits qwyr-7esw,own,Affordable census block/NOAH,sv_ev_plugin,83,1,0.012,0.0021,0.0651,81,0.008,0.0,0.0269,63.0908,,,
