date,geography,ev_stock,ev_snapshot,ev_source,public_ports,public_l2,public_dcfc,evs_per_public_port,evs_per_public_l2,evs_per_public_dcfc,evidence
2017-12-31,New York State,25919.0,2018-01-02,"EValuateNY v11 (NY ZIPs 100-149, BEV+PHEV)",1831.0,1589.0,176.0,14.155652648825779,16.311516677155442,147.26704545454547,D
2017-12-31,Tompkins County,318.3,2018-01-02,EValuateNY v11 (ZIP pop-share weighted),21.0,19.0,2.0,15.157142857142858,16.75263157894737,159.15,D
2018-12-31,New York State,38155.0,2019-01-02,"EValuateNY v11 (NY ZIPs 100-149, BEV+PHEV)",2405.0,2046.0,319.0,15.864864864864865,18.648582600195503,119.60815047021944,D
2018-12-31,Tompkins County,494.6,2019-01-02,EValuateNY v11 (ZIP pop-share weighted),41.0,39.0,2.0,12.063414634146342,12.682051282051283,247.3,D
2019-12-31,New York State,49457.0,2020-01-02,"EValuateNY v11 (NY ZIPs 100-149, BEV+PHEV)",4277.0,3759.0,505.0,11.563479074117373,13.156956637403566,97.93465346534653,D
2019-12-31,Tompkins County,693.5,2020-01-02,EValuateNY v11 (ZIP pop-share weighted),64.0,53.0,11.0,10.8359375,13.084905660377359,63.04545454545455,D
2020-12-31,New York State,61155.0,2021-01-12,"EValuateNY v11 (NY ZIPs 100-149, BEV+PHEV)",5548.0,4904.0,638.0,11.022891131939438,12.470432300163132,95.85423197492163,D
2020-12-31,Tompkins County,843.4,2021-01-12,EValuateNY v11 (ZIP pop-share weighted),72.0,61.0,11.0,11.713888888888889,13.826229508196722,76.67272727272727,D
