year,date,geography,access,level,stations,ports,count_basis,source,evidence
2017,2017-12-31,New York State,private,all,87.0,121.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,private,all,94.0,157.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,private,all,99.0,254.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,private,all,157.0,586.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,public,DCFC,5.0,16.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,public,DCFC,27.0,71.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,public,DCFC,47.0,133.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,public,DCFC,59.0,176.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,public,DCFC,81.0,319.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,public,DCFC,122.0,505.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,public,DCFC,141.0,638.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,public,L1,81.0,125.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,public,L1,61.0,92.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,public,L1,49.0,71.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,public,L1,49.0,66.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,public,L1,34.0,40.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,public,L1,11.0,13.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,public,L1,4.0,6.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,public,L2,412.0,797.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,public,L2,500.0,981.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,public,L2,707.0,1313.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,public,L2,815.0,1589.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,public,L2,994.0,2046.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,public,L2,1457.0,3759.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,public,L2,1766.0,4904.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,public,all,421.0,938.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,public,all,522.0,1144.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,public,all,750.0,1517.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,public,all,867.0,1831.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,public,all,1063.0,2405.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,public,all,1556.0,4277.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,public,all,1879.0,5548.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,Tompkins County,all,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,all,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,all,DCFC,1.0,2.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,all,DCFC,1.0,2.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,all,DCFC,1.0,2.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,all,DCFC,3.0,11.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,all,DCFC,3.0,11.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,all,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,all,L2,5.0,8.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,all,L2,6.0,10.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,all,L2,8.0,12.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,all,L2,12.0,20.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,all,L2,21.0,40.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,all,L2,27.0,54.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,all,L2,33.0,68.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,all,all,5.0,8.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,all,all,6.0,10.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,all,all,9.0,14.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,all,all,13.0,22.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,all,all,22.0,42.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,all,all,29.0,65.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,all,all,34.0,79.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,private,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,private,L2,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,private,L2,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,private,L2,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,private,L2,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,private,L2,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,private,L2,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,private,L2,3.0,7.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,private,all,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,private,all,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,private,all,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,private,all,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,private,all,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,private,all,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,private,all,3.0,7.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,public,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,public,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,public,DCFC,1.0,2.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,public,DCFC,1.0,2.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,public,DCFC,1.0,2.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,public,DCFC,3.0,11.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,public,DCFC,3.0,11.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,public,L1,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,public,L2,4.0,7.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,public,L2,5.0,9.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,public,L2,7.0,11.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,public,L2,11.0,19.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,public,L2,20.0,39.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,public,L2,26.0,53.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,public,L2,30.0,61.0,stations|ports,NLR API v0/historical-date station records (status E),A
2014,2014-12-31,Tompkins County,public,all,4.0,7.0,stations|ports,NLR API v0/historical-date station records (status E),A
2015,2015-12-31,Tompkins County,public,all,5.0,9.0,stations|ports,NLR API v0/historical-date station records (status E),A
2016,2016-12-31,Tompkins County,public,all,8.0,13.0,stations|ports,NLR API v0/historical-date station records (status E),A
2017,2017-12-31,Tompkins County,public,all,12.0,21.0,stations|ports,NLR API v0/historical-date station records (status E),A
2018,2018-12-31,Tompkins County,public,all,21.0,41.0,stations|ports,NLR API v0/historical-date station records (status E),A
2019,2019-12-31,Tompkins County,public,all,28.0,64.0,stations|ports,NLR API v0/historical-date station records (status E),A
2020,2020-12-31,Tompkins County,public,all,31.0,72.0,stations|ports,NLR API v0/historical-date station records (status E),A
