year,scale,entity,metric,index,factor,variance_share,ci_low,ci_high,ci_type,mean,sd,n_draws,design
2026,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.0032,0.00078,0.00599,bootstrap_95_bias_shifted,0.7944,2.41364,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement,0.47718,0.45911,0.49559,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,total_effect,placement,0.97594,0.96218,0.98962,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour,0.02406,0.01038,0.03782,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.52282,0.50441,0.54089,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,interaction,0.49876,0.48044,0.51893,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.01928,0.01379,0.0268,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.37897,0.36001,0.39591,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.07893,0.07309,0.08471,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.00849,0.00524,0.01202,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.01033,0.00282,0.02165,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.00523,0.00112,0.00966,bootstrap_95_bias_shifted,0.95186,2.63345,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,total_effect,stock,0.0,0.0,0.0,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement,0.39042,0.36007,0.42491,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,total_effect,placement,0.92764,0.90544,0.95034,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour,0.07236,0.04966,0.09456,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.60958,0.57509,0.63993,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,interaction,0.53721,0.5079,0.56768,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.06254,0.04971,0.07575,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.27231,0.2481,0.29261,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.05558,0.04997,0.06308,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.0539,0.0361,0.07198,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.01318,0.00431,0.02448,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2026,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.00528,0.00065,0.01059,bootstrap_95_bias_shifted,3.55039,4.71118,8192,M2×UP16×TH16×UB16
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,stock,0.02973,0.02324,0.03948,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,stock,0.18985,0.18192,0.20243,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement,0.62292,0.59968,0.64297,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,placement,0.92553,0.8969,0.94403,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour,0.04205,0.0305,0.05669,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.22294,0.20681,0.23792,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,interaction,0.3053,0.29866,0.31272,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.02876,0.02437,0.03424,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.55404,0.52805,0.57524,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.04012,0.03789,0.0422,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.00337,0.0009,0.00635,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.02703,0.01976,0.03698,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"1 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.01165,0.00774,0.01609,bootstrap_95_bias_shifted,2.71824,4.63689,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,stock,0.05237,0.0456,0.06247,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,stock,0.21113,0.20312,0.22118,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement,0.54667,0.51973,0.57025,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,placement,0.88552,0.84957,0.91028,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour,0.0588,0.042,0.08069,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.2893,0.26596,0.30988,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,interaction,0.34217,0.33027,0.35261,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.03698,0.03247,0.0426,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.47107,0.44349,0.49589,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.03862,0.03556,0.04105,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.00999,0.00424,0.01547,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.03663,0.02615,0.04898,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"2-4 dwelling units (n=1500 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.01218,0.00791,0.01725,bootstrap_95_bias_shifted,4.72248,5.73637,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,stock,0.06395,0.05737,0.07348,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,total_effect,stock,0.21061,0.20083,0.2229,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement,0.38055,0.35288,0.41065,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,total_effect,placement,0.824,0.78972,0.85735,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour,0.10709,0.08018,0.13561,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.48373,0.44599,0.51614,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,interaction,0.4484,0.4211,0.47462,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.0586,0.05139,0.06706,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.2928,0.26841,0.31773,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.02916,0.02608,0.03256,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.03951,0.01903,0.05742,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.04687,0.03166,0.06502,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"5-19 dwelling units (n=489 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.02072,0.01171,0.02944,bootstrap_95_bias_shifted,6.61303,6.76487,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,stock,0.14063,0.12371,0.16026,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,total_effect,stock,0.25175,0.22824,0.27888,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement,0.28415,0.25243,0.3273,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,total_effect,placement,0.6499,0.59692,0.70925,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour,0.20469,0.14035,0.27012,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,total_effect,behaviour,0.54045,0.47333,0.58988,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,interaction,0.37052,0.34254,0.40486,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement:weighting,0.11711,0.10073,0.13631,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement:sampling,0.1521,0.13304,0.17691,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,placement:weighting_x_sampling,0.01495,0.01251,0.01733,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters,0.15018,0.07962,0.21565,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour:stochastic,0.0355,0.02182,0.05238,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
2035,parcel,"20+ dwelling units (n=172 parcels, pooled)",peak_kw_home,first_order,behaviour:parameters_x_stochastic,0.019,0.01121,0.02684,bootstrap_95_bias_shifted,18.80982,9.74615,20000,S10×M2×UP10×TH10×UB10
