model,term,coef,irr_per_sd,irr_lo,irr_hi,p,alpha,n,deviance_explained
NB_full,const,-4.1795,0.0153,0.0149,0.0157,0.0,0.1841,1356,0.7344
NB_full,log_income,-0.0055,0.9945,0.9162,1.0795,0.8949,0.1841,1356,0.7344
NB_full,ba_plus_share,0.3032,1.3542,1.2647,1.4501,0.0,0.1841,1356,0.7344
NB_full,owner_sfd_share,-0.0334,0.9671,0.9057,1.0327,0.3177,0.1841,1356,0.7344
NB_full,renter_mf5_share,0.0451,1.0461,0.9793,1.1175,0.1807,0.1841,1356,0.7344
NB_full,log_density,-0.0981,0.9066,0.8533,0.9632,0.0015,0.1841,1356,0.7344
NB_full,veh_per_hh,0.0447,1.0457,0.942,1.1608,0.4014,0.1841,1356,0.7344
NB_full,zero_veh_share,-0.4788,0.6195,0.5649,0.6793,0.0,0.1841,1356,0.7344
NB_full,commute30plus_share,-0.0892,0.9147,0.8765,0.9545,0.0,0.1841,1356,0.7344
NB_full,wfh_share,0.0343,1.0349,0.9943,1.0771,0.0932,0.1841,1356,0.7344
NB_full,transit_share,0.0522,1.0536,0.9758,1.1376,0.182,0.1841,1356,0.7344
NB_full,college_share,0.0261,1.0265,0.9941,1.0599,0.1101,0.1841,1356,0.7344
NB_full,med_age,-0.0081,0.9919,0.9565,1.0286,0.6602,0.1841,1356,0.7344
NB_full,built2000plus_share,0.0436,1.0446,1.0151,1.0749,0.0029,0.1841,1356,0.7344
NB_full,log_home_value,0.4415,1.555,1.4566,1.66,0.0,0.1841,1356,0.7344
NB_full,inc150k_share,0.0663,1.0685,0.9784,1.1669,0.1402,0.1841,1356,0.7344
NB_small,const,-4.1504,0.0158,0.0153,0.0162,0.0,0.2423,1356,0.6604
NB_small,log_income,0.1468,1.1582,1.084,1.2375,0.0,0.2423,1356,0.6604
NB_small,ba_plus_share,0.512,1.6686,1.5762,1.7665,0.0,0.2423,1356,0.6604
NB_small,owner_sfd_share,-0.105,0.9003,0.8402,0.9646,0.0029,0.2423,1356,0.6604
NB_small,log_density,0.0333,1.0339,0.9805,1.0902,0.2181,0.2423,1356,0.6604
NB_small,veh_per_hh,0.4425,1.5566,1.4468,1.6747,0.0,0.2423,1356,0.6604
NB_small,commute30plus_share,0.0134,1.0135,0.98,1.0482,0.4343,0.2423,1356,0.6604
NB_small,college_share,0.0205,1.0207,0.9892,1.0532,0.2007,0.2423,1356,0.6604
