dataset,port_type,day_type,hour,share
dundee_public,L2,weekend,15,0.0742
dundee_public,L2,weekend,16,0.0585
dundee_public,L2,weekend,17,0.0473
dundee_public,L2,weekend,18,0.0409
dundee_public,L2,weekend,19,0.0364
dundee_public,L2,weekend,20,0.0358
dundee_public,L2,weekend,21,0.0217
dundee_public,L2,weekend,22,0.0131
dundee_public,L2,weekend,23,0.0091
dundee_public,other,weekday,0,0.0168
dundee_public,other,weekday,1,0.0135
dundee_public,other,weekday,2,0.0082
dundee_public,other,weekday,3,0.0155
dundee_public,other,weekday,4,0.0172
dundee_public,other,weekday,5,0.0203
dundee_public,other,weekday,6,0.0251
dundee_public,other,weekday,7,0.0479
dundee_public,other,weekday,8,0.0492
dundee_public,other,weekday,9,0.0484
dundee_public,other,weekday,10,0.054
dundee_public,other,weekday,11,0.0637
dundee_public,other,weekday,12,0.0713
dundee_public,other,weekday,13,0.0672
dundee_public,other,weekday,14,0.0694
dundee_public,other,weekday,15,0.0714
dundee_public,other,weekday,16,0.0541
dundee_public,other,weekday,17,0.0492
dundee_public,other,weekday,18,0.0507
dundee_public,other,weekday,19,0.051
dundee_public,other,weekday,20,0.0424
dundee_public,other,weekday,21,0.0375
dundee_public,other,weekday,22,0.0304
dundee_public,other,weekday,23,0.0255
dundee_public,other,weekend,0,0.026
dundee_public,other,weekend,1,0.0363
dundee_public,other,weekend,2,0.0216
dundee_public,other,weekend,3,0.0171
dundee_public,other,weekend,4,0.0312
dundee_public,other,weekend,5,0.0216
dundee_public,other,weekend,6,0.0202
dundee_public,other,weekend,7,0.0254
dundee_public,other,weekend,8,0.036
dundee_public,other,weekend,9,0.0432
dundee_public,other,weekend,10,0.0534
dundee_public,other,weekend,11,0.0593
dundee_public,other,weekend,12,0.0545
dundee_public,other,weekend,13,0.0514
dundee_public,other,weekend,14,0.0589
dundee_public,other,weekend,15,0.0641
dundee_public,other,weekend,16,0.063
dundee_public,other,weekend,17,0.0589
dundee_public,other,weekend,18,0.0562
dundee_public,other,weekend,19,0.049
dundee_public,other,weekend,20,0.0538
dundee_public,other,weekend,21,0.0449
dundee_public,other,weekend,22,0.0264
dundee_public,other,weekend,23,0.0277
norway_residential_7kW,L2_home,weekday,0,0.0162
norway_residential_7kW,L2_home,weekday,1,0.0091
norway_residential_7kW,L2_home,weekday,2,0.0062
norway_residential_7kW,L2_home,weekday,3,0.0077
norway_residential_7kW,L2_home,weekday,4,0.0089
norway_residential_7kW,L2_home,weekday,5,0.0031
