source,day_type,hour,energy_share
A_public_heavy_base,weekday,7,0.0139
A_public_heavy_base,weekday,8,0.0183
A_public_heavy_base,weekday,9,0.0278
A_public_heavy_base,weekday,10,0.034
A_public_heavy_base,weekday,11,0.0424
A_public_heavy_base,weekday,12,0.0498
A_public_heavy_base,weekday,13,0.0491
A_public_heavy_base,weekday,14,0.0471
A_public_heavy_base,weekday,15,0.0478
A_public_heavy_base,weekday,16,0.0601
A_public_heavy_base,weekday,17,0.0722
A_public_heavy_base,weekday,18,0.0711
A_public_heavy_base,weekday,19,0.0661
A_public_heavy_base,weekday,20,0.0619
A_public_heavy_base,weekday,21,0.0582
A_public_heavy_base,weekday,22,0.0543
A_public_heavy_base,weekday,23,0.0492
A_public_heavy_base,weekend,0,0.0449
A_public_heavy_base,weekend,1,0.0426
A_public_heavy_base,weekend,2,0.0385
A_public_heavy_base,weekend,3,0.0312
A_public_heavy_base,weekend,4,0.0282
A_public_heavy_base,weekend,5,0.025
A_public_heavy_base,weekend,6,0.0206
A_public_heavy_base,weekend,7,0.018
A_public_heavy_base,weekend,8,0.0197
A_public_heavy_base,weekend,9,0.0236
A_public_heavy_base,weekend,10,0.0286
A_public_heavy_base,weekend,11,0.0346
A_public_heavy_base,weekend,12,0.0391
A_public_heavy_base,weekend,13,0.0438
A_public_heavy_base,weekend,14,0.0476
A_public_heavy_base,weekend,15,0.0517
A_public_heavy_base,weekend,16,0.0546
A_public_heavy_base,weekend,17,0.0576
A_public_heavy_base,weekend,18,0.0611
A_public_heavy_base,weekend,19,0.0626
A_public_heavy_base,weekend,20,0.063
A_public_heavy_base,weekend,21,0.0597
A_public_heavy_base,weekend,22,0.0545
A_public_heavy_base,weekend,23,0.0493
A_base_high,weekday,0,0.0488
A_base_high,weekday,1,0.0398
A_base_high,weekday,2,0.0326
A_base_high,weekday,3,0.0268
A_base_high,weekday,4,0.0232
A_base_high,weekday,5,0.0198
A_base_high,weekday,6,0.0157
A_base_high,weekday,7,0.0129
A_base_high,weekday,8,0.0151
A_base_high,weekday,9,0.0217
A_base_high,weekday,10,0.0263
A_base_high,weekday,11,0.0329
A_base_high,weekday,12,0.039
A_base_high,weekday,13,0.0391
A_base_high,weekday,14,0.0394
A_base_high,weekday,15,0.0441
A_base_high,weekday,16,0.0593
A_base_high,weekday,17,0.0718
