year,geography,access,metric,historical_snapshot,open_date_curve,open_date_basis,difference,ratio_open_date_to_snapshot,evidence
2018,Tompkins County,private,DCFC ports,0.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,,D
2019,Tompkins County,private,stations,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2019,Tompkins County,private,L2 ports,1.0,1,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2019,Tompkins County,private,DCFC ports,0.0,0,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,,D
2020,Tompkins County,private,stations,3.0,4,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",1.0,1.3333333333333333,D
2020,Tompkins County,private,L2 ports,7.0,7,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",0.0,1.0,D
2020,Tompkins County,private,DCFC ports,0.0,2,"data/processed/infrastructure/tompkins_ports_by_open_year.csv (2026-09-14 API, status E)",2.0,,D
2014,New York State,public,stations,421.0,48,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-373.0,0.11401425178147269,D
2014,New York State,public,L2 ports,797.0,82,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-715.0,0.1028858218318695,D
2014,New York State,public,DCFC ports,16.0,30,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,14.0,1.875,D
2015,New York State,public,stations,522.0,117,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-405.0,0.22413793103448276,D
2015,New York State,public,L2 ports,981.0,259,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-722.0,0.2640163098878695,D
2015,New York State,public,DCFC ports,71.0,68,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-3.0,0.9577464788732394,D
2016,New York State,public,stations,750.0,210,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-540.0,0.28,D
2016,New York State,public,L2 ports,1313.0,512,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-801.0,0.38994668697638996,D
2016,New York State,public,DCFC ports,133.0,123,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-10.0,0.924812030075188,D
2017,New York State,public,stations,867.0,310,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-557.0,0.3575547866205306,D
2017,New York State,public,L2 ports,1589.0,791,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-798.0,0.4977973568281938,D
2017,New York State,public,DCFC ports,176.0,182,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,6.0,1.0340909090909092,D
2018,New York State,public,stations,1063.0,430,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-633.0,0.4045155221072437,D
2018,New York State,public,L2 ports,2046.0,1162,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-884.0,0.5679374389051809,D
2018,New York State,public,DCFC ports,319.0,306,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-13.0,0.9592476489028213,D
2019,New York State,public,stations,1556.0,647,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-909.0,0.4158097686375321,D
2019,New York State,public,L2 ports,3759.0,1668,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-2091.0,0.44373503591380686,D
2019,New York State,public,DCFC ports,505.0,446,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-59.0,0.8831683168316832,D
2020,New York State,public,stations,1879.0,1006,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-873.0,0.535391165513571,D
