id,station_name,street_address,city,zip,status_code,access_code,access_detail_code,facility_type,owner_type_code,ev_network,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,ports_total,ev_connector_types,ev_pricing,ev_workplace_charging,open_date,date_last_confirmed,updated_at,latitude,longitude,COUNTYFP
347946,Fairview Apartments West,100 Fairview Square,Ithaca,14850,E,public,,,,VIALYNK,0,8,0,8,['J1772'],,False,2024-06-14,2026-09-14,2026-09-14T04:44:07Z,42.43996,-76.47615,109
350529,GREENSTARCOOPER GREENSTAR 1,770 Cascadilla St,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2024-07-13,2026-09-14,2026-09-14T02:38:20Z,42.44546,-76.509693,109
360737,Ithaca College - Farm Pond Road - North Row,953 Danby Rd,Ithaca,14850,E,public,,,,VIALYNK,0,12,0,12,['J1772'],,False,2024-10-25,2026-09-14,2026-09-14T04:44:29Z,42.42764,-76.49572,109
360738,Ithaca College -  Terrace Hall,953 Danby Rd,Ithaca,14850,E,public,,,,VIALYNK,0,2,0,2,['J1772'],,False,2024-10-25,2026-09-14,2026-09-14T04:44:29Z,42.41721,-76.49812,109
360739,Ithaca College - Farm Pond Road - South Row,953 Danby Rd,Ithaca,14850,E,public,,,,VIALYNK,0,14,0,14,['J1772'],,False,2024-10-25,2026-09-14,2026-09-14T04:44:30Z,42.42748,-76.49593,109
372446,GREENSTARCOOPER GREENSTAR 2,770 Cascadilla Street,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2024-12-05,2026-09-14,2026-09-14T02:45:57Z,42.445188,-76.51025,109
376246,Northside Apartments Site 1,308 3rd Street,Ithaca,14850,E,public,,,,VIALYNK,0,2,0,2,['J1772'],,False,2025-01-24,2026-09-14,2026-09-14T04:44:39Z,42.44545,-76.5061,109
376247,Northside Apartments Site 2,523 Hancock Street,Ithaca,14580,E,public,,,,VIALYNK,0,2,0,2,['J1772'],,False,2025-01-24,2026-09-14,2026-09-14T04:44:39Z,42.44545,-76.50603,109
384284,INHS VILLAGE GROVE 6,15 crescent way,Trumansburg,14886,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-02-14,2026-09-14,2026-09-14T02:47:32Z,42.535956,-76.66129,109
384285,INHS VILLAGE GROVE 3,15 crescent way,Trumansburg,14886,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-02-14,2026-09-14,2026-09-14T02:47:32Z,42.535956,-76.66129,109
384286,INHS VILLAGE GROVE 2,15 crescent way,Trumansburg,14886,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-02-14,2026-09-14,2026-09-14T02:47:33Z,42.535956,-76.66129,109
