arch_id,drivetrain,access,level,freq,work,managed,n,annual_miles,kwh_home,kwh_work,kwh_public_l2,kwh_dcfc,kwh_enroute,n_home,gas_miles,need_wheel
0,BEV,1,L1,daily,0,0,60,12136.963,3423.232,0.0,86.348,151.239,966.818,309.983,0.0,3944.563
1,BEV,1,L1,daily,1,0,60,12017.333,2849.352,866.645,68.1,130.147,635.068,299.3,0.0,3904.944
2,BEV,1,L1,few_week,0,0,60,9318.301,2625.333,0.0,67.973,118.01,735.191,197.65,0.0,3029.706
3,BEV,1,L1,few_week,1,0,60,9408.847,1746.777,1106.784,68.343,102.732,496.678,166.567,0.0,3057.211
4,BEV,1,L1,weekly,0,0,60,9254.559,2212.154,0.0,76.578,151.61,1026.491,146.317,0.0,3003.46
5,BEV,1,L1,weekly,1,0,60,8255.308,1083.948,1404.302,61.269,96.707,406.59,86.833,0.0,2684.056
6,BEV,1,L1,rare,0,0,60,6486.163,1796.08,0.0,61.294,96.538,496.757,114.25,0.0,2109.426
7,BEV,1,L1,rare,1,0,60,6123.599,633.186,1324.774,43.237,60.489,189.025,45.183,0.0,1989.67
8,BEV,1,L2,daily,0,0,60,12298.393,3888.873,0.0,70.017,106.124,374.912,278.433,0.0,3992.675
9,BEV,1,L2,daily,0,1,60,13129.855,3956.672,0.0,75.495,106.95,598.275,279.233,0.0,4266.855
10,BEV,1,L2,daily,1,0,60,12093.044,3434.205,447.338,61.352,102.589,322.625,278.15,0.0,3929.948
11,BEV,1,L2,daily,1,1,60,10954.422,3188.078,391.706,53.904,83.57,243.471,274.15,0.0,3559.044
12,BEV,1,L2,few_week,0,0,60,10676.871,3136.685,0.0,65.53,105.431,542.721,162.517,0.0,3472.542
13,BEV,1,L2,few_week,0,1,60,10220.96,3020.327,0.0,66.09,103.39,491.599,160.883,0.0,3321.241
14,BEV,1,L2,few_week,1,0,60,11495.586,2617.49,871.494,69.151,112.748,469.175,158.067,0.0,3733.939
15,BEV,1,L2,few_week,1,1,60,9694.017,2342.46,752.381,60.423,82.529,262.733,153.333,0.0,3150.429
16,BEV,1,L2,weekly,0,0,60,8185.008,2490.401,0.0,56.333,90.271,310.61,86.633,0.0,2660.678
17,BEV,1,L2,weekly,0,1,60,8260.331,2451.099,0.0,61.352,101.877,359.396,85.817,0.0,2684.066
18,BEV,1,L2,weekly,1,0,60,8279.394,1588.705,1032.744,55.611,89.832,214.983,71.883,0.0,2689.904
19,BEV,1,L2,weekly,1,1,60,8815.716,1671.092,1061.297,57.862,96.368,288.684,73.033,0.0,2863.396
20,BEV,1,L2,rare,0,0,60,6358.884,2012.162,0.0,49.331,79.322,150.816,56.067,0.0,2068.841
21,BEV,1,L2,rare,0,1,60,5854.797,1866.381,0.0,37.95,82.2,121.762,52.3,0.0,1904.698
22,BEV,1,L2,rare,1,0,60,6139.178,956.246,1094.694,34.984,63.637,65.453,33.7,0.0,1996.13
23,BEV,1,L2,rare,1,1,60,6053.694,900.796,1093.263,39.082,52.431,95.684,32.583,0.0,1965.945
24,BEV,0,none,none,0,0,60,10893.059,0.0,0.0,971.079,1994.761,893.388,0.0,0.0,3541.544
25,BEV,0,none,none,1,0,60,10907.574,0.0,1682.149,541.867,1070.445,598.445,0.0,0.0,3543.346
26,PHEV,1,L1,daily,0,0,60,12224.732,2417.551,0.0,143.879,0.0,0.0,292.3,6235.94,4382.038
27,PHEV,1,L1,daily,1,0,60,10736.07,2256.002,412.964,118.428,0.0,0.0,290.983,4152.587,3846.825
28,PHEV,1,L1,few_week,0,0,60,9249.588,1410.538,0.0,122.725,0.0,0.0,151.9,5641.809,3317.154
29,PHEV,1,L1,few_week,1,0,60,11253.692,1284.158,640.632,151.513,0.0,0.0,150.9,6259.695,4038.221
30,PHEV,1,L1,weekly,0,0,60,7387.597,597.113,0.0,112.711,0.0,0.0,58.267,5691.492,2650.988
31,PHEV,1,L1,weekly,1,0,60,8560.098,481.566,752.451,118.108,0.0,0.0,54.8,5222.846,3068.974
32,PHEV,1,L1,rare,0,0,60,5925.034,206.976,0.0,97.361,0.0,0.0,18.55,5169.208,2123.249
33,PHEV,1,L1,rare,1,0,60,6082.682,147.219,765.607,78.873,0.0,0.0,17.117,3589.46,2177.993
34,PHEV,1,L2,daily,0,0,60,9739.174,2372.187,0.0,100.277,0.0,0.0,278.117,3508.122,3490.132
35,PHEV,1,L2,daily,0,1,60,10096.636,2441.246,0.0,114.74,0.0,0.0,279.45,3660.663,3622.991
36,PHEV,1,L2,daily,1,0,60,12319.44,2490.341,348.066,122.072,0.0,0.0,278.133,4867.927,4421.711
37,PHEV,1,L2,daily,1,1,60,12926.126,2581.805,392.883,140.757,0.0,0.0,279.35,5082.589,4632.823
