arch_id,drivetrain,access,level,freq,work,managed,n,annual_miles,kwh_home,kwh_work,kwh_public_l2,kwh_dcfc,kwh_enroute,n_home,gas_miles,need_wheel
0,BEV,1,L1,daily,0,0,60,12621.211,3394.792,0.0,75.469,146.199,1074.703,307.733,0.0,4006.787
1,BEV,1,L1,daily,1,0,60,13385.538,2957.584,954.127,73.853,122.757,830.791,300.767,0.0,4252.082
2,BEV,1,L1,few_week,0,0,60,9437.129,2531.889,0.0,62.221,113.596,794.594,193.017,0.0,2998.269
3,BEV,1,L1,few_week,1,0,60,10237.683,1834.305,1155.591,54.047,113.16,586.718,172.5,0.0,3254.867
4,BEV,1,L1,weekly,0,0,60,8394.742,2098.353,0.0,69.243,125.947,795.97,138.367,0.0,2665.574
5,BEV,1,L1,weekly,1,0,60,9565.703,1213.884,1514.935,62.328,110.54,543.14,94.0,0.0,3036.94
6,BEV,1,L1,rare,0,0,60,6476.433,1845.865,0.0,49.69,90.194,412.682,117.517,0.0,2055.716
7,BEV,1,L1,rare,1,0,60,5612.213,537.345,1272.093,28.607,50.638,123.591,41.117,0.0,1784.662
8,BEV,1,L2,daily,0,0,60,11274.94,3550.189,0.0,49.012,80.61,298.291,276.517,0.0,3575.69
9,BEV,1,L2,daily,0,1,60,13239.568,3855.031,0.0,62.454,110.353,644.522,275.567,0.0,4207.486
10,BEV,1,L2,daily,1,0,60,11759.841,3306.994,400.435,50.242,77.548,317.113,276.883,0.0,3732.648
11,BEV,1,L2,daily,1,1,60,12820.307,3405.062,460.642,59.436,97.472,500.623,275.467,0.0,4072.065
12,BEV,1,L2,few_week,0,0,60,11295.205,3320.198,0.0,67.186,96.034,496.895,163.717,0.0,3589.423
13,BEV,1,L2,few_week,0,1,60,11638.073,3267.218,0.0,67.289,110.604,644.409,161.75,0.0,3691.561
14,BEV,1,L2,few_week,1,0,60,10975.118,2586.301,827.289,58.819,94.922,299.805,156.733,0.0,3483.548
15,BEV,1,L2,few_week,1,1,60,10991.541,2557.907,775.309,59.479,99.384,380.168,156.933,0.0,3489.188
16,BEV,1,L2,weekly,0,0,60,8036.437,2361.916,0.0,53.008,93.788,318.698,84.75,0.0,2551.575
17,BEV,1,L2,weekly,0,1,60,8942.509,2565.138,0.0,59.905,100.27,418.492,87.95,0.0,2838.635
18,BEV,1,L2,weekly,1,0,60,9577.215,1784.46,1112.75,54.114,92.519,335.793,74.067,0.0,3046.594
19,BEV,1,L2,weekly,1,1,60,9526.317,1742.581,1079.917,49.395,91.946,387.371,74.8,0.0,3026.625
20,BEV,1,L2,rare,0,0,60,5896.924,1842.653,0.0,35.995,75.019,120.719,52.5,0.0,1874.231
21,BEV,1,L2,rare,0,1,60,5439.503,1722.139,0.0,40.798,65.699,86.123,49.567,0.0,1728.958
22,BEV,1,L2,rare,1,0,60,5784.774,884.373,1024.522,26.672,59.343,42.488,32.283,0.0,1836.231
23,BEV,1,L2,rare,1,1,60,7016.002,1074.149,1145.418,37.987,66.432,144.758,35.3,0.0,2228.893
24,BEV,0,none,none,0,0,60,10807.356,0.0,0.0,873.512,2008.144,861.694,0.0,0.0,3436.66
25,BEV,0,none,none,1,0,60,10255.57,0.0,1605.637,445.064,1001.188,526.583,0.0,0.0,3260.404
26,PHEV,1,L1,daily,0,0,60,12386.811,2444.013,0.0,141.819,0.0,0.0,293.833,6208.369,4346.499
27,PHEV,1,L1,daily,1,0,60,12618.102,2354.208,487.601,140.705,0.0,0.0,290.75,5414.808,4436.147
