arch_id,drivetrain,access,level,freq,work,managed,n,annual_miles,kwh_home,kwh_work,kwh_public_l2,kwh_dcfc,kwh_enroute,n_home,gas_miles,need_wheel
0,BEV,1,L1,daily,0,0,60,11144.349,3345.847,0.0,105.354,149.755,933.824,307.683,0.0,3867.168
1,BEV,1,L1,daily,1,0,60,12545.339,2959.456,946.828,100.804,157.025,899.638,300.1,0.0,4364.247
2,BEV,1,L1,few_week,0,0,60,10506.736,2672.243,0.0,108.515,156.5,1287.644,199.033,0.0,3652.708
3,BEV,1,L1,few_week,1,0,60,10768.029,1886.649,1223.791,94.783,134.699,941.222,173.233,0.0,3739.46
4,BEV,1,L1,weekly,0,0,60,8420.656,2226.713,0.0,96.841,149.875,911.862,144.45,0.0,2925.871
5,BEV,1,L1,weekly,1,0,60,8717.295,1144.583,1482.128,78.655,117.0,609.808,91.417,0.0,3026.234
6,BEV,1,L1,rare,0,0,60,5949.939,1864.699,0.0,63.429,99.835,379.489,118.467,0.0,2065.441
7,BEV,1,L1,rare,1,0,60,5964.772,593.402,1364.35,54.116,84.968,240.851,44.4,0.0,2070.883
8,BEV,1,L2,daily,0,0,60,11261.097,3817.305,0.0,73.376,108.087,352.853,277.75,0.0,3914.271
9,BEV,1,L2,daily,0,1,60,12340.336,3965.986,0.0,85.376,117.146,590.262,278.217,0.0,4285.291
10,BEV,1,L2,daily,1,0,60,12166.391,3634.234,508.983,80.85,107.825,366.325,276.333,0.0,4224.352
11,BEV,1,L2,daily,1,1,60,11292.314,3444.016,420.462,73.495,94.43,324.699,276.467,0.0,3916.304
12,BEV,1,L2,few_week,0,0,60,11421.137,3465.447,0.0,96.594,136.428,699.442,162.8,0.0,3968.774
13,BEV,1,L2,few_week,0,1,60,11466.928,3484.728,0.0,91.176,145.119,687.768,164.85,0.0,3979.879
14,BEV,1,L2,few_week,1,0,60,10333.26,2587.571,859.524,79.482,109.362,345.174,156.75,0.0,3584.137
15,BEV,1,L2,few_week,1,1,60,10542.295,2711.945,844.436,80.231,111.252,314.84,157.283,0.0,3660.129
16,BEV,1,L2,weekly,0,0,60,8884.862,2731.658,0.0,81.07,116.332,483.772,91.517,0.0,3086.786
17,BEV,1,L2,weekly,0,1,60,8538.985,2682.45,0.0,86.064,106.541,408.586,90.583,0.0,2965.298
18,BEV,1,L2,weekly,1,0,60,8296.236,1712.908,1054.656,73.566,102.466,251.295,75.583,0.0,2878.426
19,BEV,1,L2,weekly,1,1,60,9270.827,1831.697,1134.385,85.071,118.304,395.334,76.933,0.0,3215.701
20,BEV,1,L2,rare,0,0,60,5947.412,2022.73,0.0,57.475,80.551,123.266,56.883,0.0,2064.248
21,BEV,1,L2,rare,0,1,60,7010.297,2199.385,0.0,73.27,104.48,315.19,60.583,0.0,2434.186
22,BEV,1,L2,rare,1,0,60,6633.492,1084.983,1204.267,62.674,74.49,128.701,37.417,0.0,2303.94
23,BEV,1,L2,rare,1,1,60,6675.117,1074.843,1128.855,52.635,88.496,226.087,37.267,0.0,2318.066
24,BEV,0,none,none,0,0,60,9575.111,0.0,0.0,948.327,1757.809,917.16,0.0,0.0,3326.108
25,BEV,0,none,none,1,0,60,10168.59,0.0,1695.912,542.549,943.127,705.778,0.0,0.0,3534.24
26,PHEV,1,L1,daily,0,0,60,11811.121,2207.707,0.0,158.352,0.0,0.0,286.867,6600.928,4501.998
27,PHEV,1,L1,daily,1,0,60,11519.221,2141.359,396.891,158.87,0.0,0.0,285.333,5502.549,4381.102
28,PHEV,1,L1,few_week,0,0,60,10026.885,1263.188,0.0,157.863,0.0,0.0,149.483,6869.462,3821.279
29,PHEV,1,L1,few_week,1,0,60,10534.381,1189.159,544.248,150.913,0.0,0.0,151.05,6269.858,4011.707
30,PHEV,1,L1,weekly,0,0,60,8214.052,503.09,0.0,147.765,0.0,0.0,54.117,6743.057,3130.054
31,PHEV,1,L1,weekly,1,0,60,7397.847,440.136,630.65,108.414,0.0,0.0,55.467,4659.218,2818.222
32,PHEV,1,L1,rare,0,0,60,6856.015,171.238,0.0,120.349,0.0,0.0,17.667,6174.393,2610.714
33,PHEV,1,L1,rare,1,0,60,6111.242,145.581,666.204,95.957,0.0,0.0,18.233,3964.375,2326.286
34,PHEV,1,L2,daily,0,0,60,10244.487,2209.347,0.0,128.409,0.0,0.0,278.267,4692.021,3901.514
35,PHEV,1,L2,daily,0,1,60,11231.254,2240.738,0.0,145.131,0.0,0.0,279.0,5569.83,4277.446
36,PHEV,1,L2,daily,1,0,60,10461.115,2178.668,302.287,126.821,0.0,0.0,278.667,4268.042,3979.043
37,PHEV,1,L2,daily,1,1,60,11549.071,2205.448,335.299,151.153,0.0,0.0,277.683,5162.503,4401.999
38,PHEV,1,L2,few_week,0,0,60,9407.663,1316.31,0.0,135.646,0.0,0.0,148.767,5942.324,3579.261
39,PHEV,1,L2,few_week,0,1,60,9830.628,1335.886,0.0,147.327,0.0,0.0,149.35,6301.11,3741.214
40,PHEV,1,L2,few_week,1,0,60,8704.894,1215.595,466.382,115.969,0.0,0.0,148.983,4433.841,3317.808
41,PHEV,1,L2,few_week,1,1,60,9728.319,1234.748,482.953,134.752,0.0,0.0,148.2,5327.473,3706.043
42,PHEV,1,L2,weekly,0,0,60,6604.937,549.263,0.0,110.18,0.0,0.0,55.383,5020.308,2514.559
43,PHEV,1,L2,weekly,0,1,60,8444.408,566.368,0.0,141.887,0.0,0.0,56.2,6742.61,3217.575
44,PHEV,1,L2,weekly,1,0,60,8251.377,491.344,616.702,126.139,0.0,0.0,55.5,5302.872,3141.393
45,PHEV,1,L2,weekly,1,1,60,8507.358,475.308,627.645,129.784,0.0,0.0,54.833,5564.915,3239.924
46,PHEV,1,L2,rare,0,0,60,5958.144,186.795,0.0,106.754,0.0,0.0,17.467,5242.045,2271.362
47,PHEV,1,L2,rare,0,1,60,5969.736,194.74,0.0,109.306,0.0,0.0,18.3,5230.005,2272.601
48,PHEV,1,L2,rare,1,0,60,5926.288,159.183,636.312,92.779,0.0,0.0,17.9,3800.606,2257.411
49,PHEV,1,L2,rare,1,1,60,5554.188,152.574,643.957,80.344,0.0,0.0,17.217,3457.046,2116.716
50,PHEV,0,none,none,0,0,60,10875.923,0.0,0.0,1403.763,0.0,0.0,0.0,7531.041,4144.587
51,PHEV,0,none,none,1,0,60,9160.677,0.0,537.217,1201.88,0.0,0.0,0.0,5018.461,3487.596
