size_bytes,s3_key,county_min,county_max,num_rows
67823023,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2046/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,22062034
74110568,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2048/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,24621510
82402556,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2050/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,24291492
81591778,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=ldv_sales_evs_2035/tempo_project_model_years=2050/state=NY/part-00252-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36109,36117,23877250
91165625,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2024/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,33688784
125691591,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2026/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,47142826
165589139,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2028/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,61053590
205408140,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2030/state=NY/part-00247-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36001,36123,72997088
24256385,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2032/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,8986622
29367127,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2034/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,10778156
36049727,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2036/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,11568540
34294702,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2038/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,11656352
35958634,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2040/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,13008796
39057018,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2042/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,13202006
38657035,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2044/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36103,36109,13887004
45519949,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2046/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,14498900
49535462,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2048/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,16436634
50264460,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2050/state=NY/part-00251-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36101,36109,17214400
32994425,tempo/tempo-2022/v1.0.0/full_dataset/table.parquet/scenario=reference/tempo_project_model_years=2050/state=NY/part-00252-d668d769-0c35-46e0-94bc-3fa450b31efc.c000.snappy.parquet,36109,36117,11827064
