parcel,E_ev,peak_kw_p50,peak_kw_p90,prob_any_ev_charging
50070001000000010090000000,0.027,0.0,0.0,0.0
50070001000000010100000000,0.037,0.0,0.0,0.067
50070001000000010110000000,0.0,0.0,0.0,0.0
50070001000000010120000000,0.054,0.0,0.0,0.067
50070001000000020020000000,0.0,0.0,0.0,0.0
50070001000000020030000000,0.057,0.0,0.0,0.033
50070001000000020040000000,0.037,0.0,0.0,0.0
50070001000000030010000000,0.0,0.0,0.0,0.0
50070001000000030020000000,0.027,0.0,0.0,0.067
50070001000000030040000000,0.073,0.0,0.0,0.033
50070001000000030050000000,0.054,0.0,0.0,0.0
50070001000000030060000000,0.054,0.0,3.24,0.167
50070001000000030090000000,0.027,0.0,0.0,0.0
50070001100000010010000000,0.108,0.0,1.62,0.133
50070001100000010020000000,0.109,0.0,1.54,0.133
50070001100000020010000000,0.153,0.0,0.0,0.0
50070001100000030030020000,0.118,0.0,1.4,0.133
50070001100000030060000000,0.117,0.0,7.2,0.133
50070001100000030070000000,0.118,0.0,0.0,0.033
50070001100000030080000000,0.09,0.0,0.0,0.033
50070001100000030090000000,0.118,0.0,2.88,0.167
50070001100000030110000000,0.118,0.0,2.978,0.267
50070001200000020040000000,0.199,0.0,0.0,0.067
50070001200000020050000000,0.049,0.0,0.0,0.067
50070001200000020060000000,0.189,0.0,2.8,0.167
50070001200000020070000000,0.168,0.0,0.0,0.067
50070001200000020080000000,0.084,0.0,0.0,0.067
50070001200000020090000000,0.259,0.0,7.936,0.433
50070001200000020100000000,0.12,0.0,0.28,0.1
50070001200000020110000000,0.165,0.0,7.2,0.167
50070001200000020120000000,0.165,0.0,1.54,0.133
50070001200000020130000000,0.116,0.0,0.0,0.033
50070001200000020140000000,0.049,0.0,0.0,0.0
50070001200000020150000000,0.116,0.0,0.0,0.067
50070001200000020160000000,0.107,0.0,0.0,0.033
50070001200000020170000000,0.234,0.0,7.2,0.267
50070001200000020180000000,0.097,0.0,0.0,0.067
50070001200000030010000000,0.097,0.0,0.0,0.033
50070001200000030020000000,0.191,0.0,2.8,0.2
50070001200000030030010000,1.314,2.8,12.0,0.667
50070001200000030030020000,1.27,4.6,12.24,0.733
50070001200000030040000000,0.184,0.0,2.88,0.133
50070001200000030050000000,0.219,0.0,3.24,0.133
