site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
public_l2,afdc_114957,La Tourelle Hotel & Spa - Tesla Destination,42.402,-76.503,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_114959,William Henry Miller Inn - Tesla Destination,42.442,-76.495,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_117739,Maguire Chevrolet,42.481,-76.478,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_123135,Allan H. Treman State Park,42.458,-76.52,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_123137,Cayuga Heights,42.469,-76.479,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162227,NORTH WOOD STATION 1,42.487,-76.471,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162263,ITHACA VISITORS COLLEGE CIRCLE,42.412,-76.501,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162290,HOLT1 HOLT,42.439,-76.51,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162296,CITY OF ITHACA DRYDEN,42.442,-76.486,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162304,INHS 210 HANCOCK,42.448,-76.503,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162307,CITY OF ITHACA SENECA STREET,42.44,-76.496,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162315,ITHACA VISITORS ITHACA COLLEGE,42.421,-76.5,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162323,CAYUGA STATION ALL PRO GARAGE,42.437,-76.499,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_162327,ULYSSES TOWN ULYSSES,42.541,-76.661,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_164859,DRYDEN STATION 1,42.492,-76.287,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_165558,CCE TOMPKINS STATION ONE,42.451,-76.503,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_182683,SCIENCENTER SCIENCENTER,42.45,-76.504,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_186535,CAYUGA MED CTR. CAYUGA MEDICAL,42.469,-76.538,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_191606,THE MEADOWS STATION 01,42.484,-76.482,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_226519,BJ'S Wholesale Shopping Club,42.486,-76.493,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_226520,The Dorm Hotel,42.444,-76.49,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_226521,Maguire Honda of Ithaca,42.426,-76.509,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_226539,Inn at Taughannock Falls - Tesla Destination,42.545,-76.598,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_227121,CORNELL STATION4,42.445,-76.481,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_229267,CORNELL STATION6,42.445,-76.481,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_229268,CORNELL STATION2,42.45,-76.479,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_229269,CORNELL STATION1,42.45,-76.478,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_229400,CORNELL STATION3,42.443,-76.479,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_229476,CORNELL STATION5,42.45,-76.479,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_230851,Village of Dryden,42.49,-76.298,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_256948,MAGUIRE IMPORTS VOLKS CLIENT,42.422,-76.517,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_302246,CORNELL CORNELLSTATION7,42.443,-76.48,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_311780,ITHACAN B,42.439,-76.496,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_311781,ITHACAN A,42.439,-76.496,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_311782,ITHACAN C,42.439,-76.496,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_311783,ITHACAN D,42.439,-76.496,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_324859,Spruce Row Campground & RV Park,42.516,-76.587,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_326300,CORNELL STATION10,42.436,-76.455,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_326305,CORNELL STATION11,42.436,-76.455,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_326306,CORNELL STATION12,42.436,-76.455,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_326447,CORNELL STATION8,42.444,-76.484,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_326448,CORNELL STATION9,42.444,-76.484,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_333805,Holiday Inn Express Ithaca,42.421,-76.518,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_333826,Ithaca Bakery,42.443,-76.509,6.0,10.226,34725.668,18.919,9.304
public_l2,afdc_334127,Kendal at Ithaca 3,42.474,-76.488,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_334240,Rodeway Inn & Suites,42.41,-76.54,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_341691,SWTCH Energy Inc.,42.437,-76.46,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_341704,SWTCH Energy Inc.,42.439,-76.46,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_341740,SWTCH Energy Inc.,42.538,-76.654,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_341778,SWTCH Energy Inc.,42.501,-76.311,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_347356,Kendal at Ithaca 2 (North Lot),42.476,-76.486,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_347357,Kendal at Ithaca 1 (South Lot),42.475,-76.485,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_347365,Best Western University Inn,42.439,-76.462,8.0,13.634,46300.891,25.225,9.304
public_l2,afdc_347945,Fairview Apartments East,42.44,-76.476,12.0,20.451,69451.336,37.837,9.304
public_l2,afdc_347946,Fairview Apartments West,42.44,-76.476,8.0,13.634,46300.891,25.225,9.304
public_l2,afdc_350529,GREENSTARCOOPER GREENSTAR 1,42.445,-76.51,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_360737,Ithaca College - Farm Pond Road - North Row,42.428,-76.496,12.0,20.451,69451.336,37.837,9.304
public_l2,afdc_360738,Ithaca College -  Terrace Hall,42.417,-76.498,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_360739,Ithaca College - Farm Pond Road - South Row,42.427,-76.496,14.0,23.86,81026.558,44.143,9.304
public_l2,afdc_372446,GREENSTARCOOPER GREENSTAR 2,42.445,-76.51,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_376246,Northside Apartments Site 1,42.445,-76.506,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_376247,Northside Apartments Site 2,42.445,-76.506,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_384284,INHS VILLAGE GROVE 6,42.536,-76.661,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_384285,INHS VILLAGE GROVE 3,42.536,-76.661,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_384286,INHS VILLAGE GROVE 2,42.536,-76.661,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_384287,INHS VILLAGE GROVE 5,42.536,-76.661,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_384288,INHS VILLAGE GROVE 4,42.536,-76.661,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_384289,INHS VILLAGE GROVE 1,42.536,-76.661,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_420749,ORLY ITHACA 1,42.432,-76.51,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_420750,ORLY ITHACA 3,42.432,-76.51,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_429747,Chrysler L2s,42.428,-76.51,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_439836,Springwater Inn,42.459,-76.428,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_447078,Village Hall,42.541,-76.661,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_452497,308 Main Street,42.586,-76.366,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_455979,Honda L2's,42.427,-76.51,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_455980,Imports L2s,42.423,-76.518,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_455983,Ford Ithaca L2s,42.435,-76.509,4.0,6.817,23150.445,12.612,9.304
public_l2,afdc_456594,HOUSE OF ALPHA STATION 1,42.456,-76.487,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_456595,HOUSE OF ALPHA STATION 2,42.456,-76.487,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_458593,ORLY ITHACA 2,42.432,-76.51,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_458594,ORLY ITHACA 4,42.432,-76.51,1.0,1.704,5787.611,3.153,9.304
public_l2,afdc_460294,FERGUSON ELEC AURORA 2,42.447,-76.509,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_460295,FERGUSON ELEC AURORA 5,42.447,-76.509,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_460296,FERGUSON ELEC AURORA 4,42.447,-76.509,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_460298,FERGUSON ELEC AURORA 1,42.447,-76.509,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_460299,FERGUSON ELEC AURORA 6,42.447,-76.509,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_462029,GT-Dryden Mutual Insurance,42.5,-76.3,6.0,10.226,34725.668,18.919,9.304
public_l2,afdc_467971,Parking Lot,42.541,-76.66,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_467972,Parking Lot,42.542,-76.666,2.0,3.409,11575.223,6.306,9.304
public_l2,afdc_468044,Parking Lot,42.436,-76.465,2.0,3.409,11575.223,6.306,9.304
dcfc,afdc_117739,Maguire Chevrolet,42.481,-76.478,1.0,1.704,125591.866,151.658,201.895
dcfc,afdc_149318,"Ithaca, NY - Tesla Supercharger",42.429,-76.509,8.0,13.634,1004734.927,1213.261,201.895
dcfc,afdc_333805,Holiday Inn Express Ithaca,42.421,-76.518,8.0,13.634,1004734.927,1213.261,201.895
dcfc,afdc_398514,Ithaca College - Athletic Center,42.422,-76.49,4.0,6.817,502367.464,606.631,201.895
dcfc,afdc_440986,Chrysler L3s,42.428,-76.51,2.0,3.409,251183.732,303.315,201.895
dcfc,afdc_447078,Village Hall,42.541,-76.661,2.0,3.409,251183.732,303.315,201.895
dcfc,afdc_449494,Parking Lot DCFC,42.542,-76.666,2.0,3.409,251183.732,303.315,201.895
dcfc,afdc_455981,Chevrolet Cadillac L3s,42.481,-76.478,3.0,5.113,376775.598,454.973,201.895
dcfc,afdc_455982,Ford Ithaca L3s,42.435,-76.509,4.0,6.817,502367.464,606.631,201.895
dcfc,afdc_455985,Chevy of Trumansburg L3's,42.533,-76.639,2.0,3.409,251183.732,303.315,201.895
dcfc,afdc_459357,Parking Lot DCFC,42.541,-76.66,2.0,3.409,251183.732,303.315,201.895
dcfc,afdc_463625,Ithaca Ford,42.435,-76.509,2.0,3.409,251183.732,303.315,201.895
workplace_listed,afdc_44339,Maguire Family of Dealerships,42.435,-76.509,1.0,,25385.84,25.386,
workplace_listed,afdc_157971,Maguire Family of Dealerships,42.423,-76.519,0.0,,0.0,0.0,
workplace_listed,afdc_168427,Village of Dryden,42.485,-76.297,2.0,,50771.68,50.772,
workplace_listed,afdc_168458,Tompkins-Seneca-Tioga BOCES,42.476,-76.464,4.0,,101543.359,101.544,
workplace_listed,afdc_303228,Swtch Energy,42.501,-76.31,2.0,,50771.68,50.772,
workplace_listed,chargeready_56A260F38E53CE12C012D52A07908D7966D69E4F5ECBF7043EB7681EEBF1A5E2,Dryden Mutual Insurance Company,,,6.0,,152315.039,152.316,
workplace_listed,chargeready_FE9A4C96FFF5CD08C8B5BD7CCC15E73D25CA8C3C1ECA4AA6B308C63B6D0B77BE,TST BOCES Ithaca,,,4.0,,101543.359,101.544,
