site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
public_l2,afdc_114957,La Tourelle Hotel & Spa - Tesla Destination,42.402,-76.503,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_114959,William Henry Miller Inn - Tesla Destination,42.442,-76.495,1.0,1.0,3618.752,1.716,9.914
public_l2,afdc_117739,Maguire Chevrolet,42.481,-76.478,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_123135,Allan H. Treman State Park,42.458,-76.52,4.0,4.0,14475.009,6.863,9.914
public_l2,afdc_123137,Cayuga Heights,42.469,-76.479,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162227,NORTH WOOD STATION 1,42.487,-76.471,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162263,ITHACA VISITORS COLLEGE CIRCLE,42.412,-76.501,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162290,HOLT1 HOLT,42.439,-76.51,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162296,CITY OF ITHACA DRYDEN,42.442,-76.486,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162304,INHS 210 HANCOCK,42.448,-76.503,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162307,CITY OF ITHACA SENECA STREET,42.44,-76.496,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162315,ITHACA VISITORS ITHACA COLLEGE,42.421,-76.5,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162323,CAYUGA STATION ALL PRO GARAGE,42.437,-76.499,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_162327,ULYSSES TOWN ULYSSES,42.541,-76.661,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_164859,DRYDEN STATION 1,42.492,-76.287,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_165558,CCE TOMPKINS STATION ONE,42.451,-76.503,2.0,2.0,7237.504,3.432,9.914
public_l2,afdc_182683,SCIENCENTER SCIENCENTER,42.45,-76.504,2.0,2.0,7237.504,3.432,9.914
