parcel,E_ev,peak_kw_p50,peak_kw_p90,prob_any_ev_charging
50070000300000010030000000,0.865,8.0,16.0,0.633
50070000300000010040000000,0.148,0.0,2.06,0.133
50070000300000010050000000,0.285,0.0,8.0,0.2
50070000300000010060000000,1.173,2.5,14.133,0.5
50070000300000010100000000,0.443,0.0,8.0,0.233
50070000300000010110000000,0.865,0.0,8.14,0.4
50070000300000010120000000,0.529,0.0,16.0,0.433
50070000300000010130000000,0.529,0.0,13.077,0.333
50070000300000010150000000,0.529,0.0,11.748,0.267
50070000300000010170000000,0.347,0.0,8.0,0.4
50070000300000010190000000,0.307,0.0,3.32,0.133
50070000300000010200000000,0.579,0.0,8.0,0.233
50070000300000010210000000,0.347,0.0,16.0,0.367
50070000300000010220000000,0.347,0.0,8.0,0.2
50070000300000020040000000,0.285,0.0,8.0,0.167
50070000300000020070000000,0.704,6.5,16.0,0.633
50070000300000020080000000,0.189,0.0,8.0,0.167
50070000300000020090000000,0.285,0.0,8.0,0.267
50070000300000020100000000,0.554,8.0,16.0,0.6
50070000300000020120020000,0.529,0.0,11.115,0.333
50070000300000020130000000,0.529,0.0,15.64,0.467
50070000300000020140000000,0.307,0.0,8.0,0.167
50070000300000020150000000,0.421,0.0,3.653,0.167
50070000300000030030000000,0.73,0.0,10.556,0.367
50070000300000030040000000,0.272,0.0,0.21,0.1
50070000400000010010010000,0.352,0.0,9.669,0.267
50070000400000010010020000,0.578,0.0,12.58,0.433
50070000400000010030000000,0.763,0.0,9.76,0.433
50070000400000010040000000,0.243,0.0,0.14,0.1
50070000400000010060000000,0.352,0.0,8.0,0.167
50070000400000020020010000,0.628,0.0,14.56,0.467
50070000400000020050000000,0.836,2.594,16.0,0.567
50070000400000020070010000,0.323,0.0,8.0,0.333
50070000400000020080000000,0.761,0.0,13.26,0.433
50070000500000020010000000,0.43,0.0,10.797,0.433
50070000500000020020000000,0.294,0.0,8.0,0.233
50070000500000020030000000,0.401,0.0,8.0,0.333
50070000500000020040000000,0.559,0.0,8.0,0.333
50070000500000020050000000,0.959,5.4,16.0,0.633
50070000500000020060000000,0.623,0.0,8.0,0.267
50070000500000020070000000,0.876,0.0,15.64,0.467
50070000500000020080000000,1.61,8.414,17.769,0.767
50070000500000020090000000,0.375,0.0,8.14,0.2
50070000500000020100010000,0.881,8.0,14.56,0.567
50070000600000010020010000,0.867,8.0,15.756,0.8
50070000600000010040000000,1.39,0.0,13.3,0.4
50070000600000020030000000,0.916,3.5,16.0,0.567
50070000700000010010000000,0.611,0.0,13.217,0.433
50070000700000010030000000,0.483,0.0,8.0,0.4
50070000700000030040000000,0.867,2.8,9.9,0.533
50070000700000030050000000,6.397,16.0,21.475,0.9
50070000700000030060000000,0.669,0.0,13.96,0.433
50070000700000040010000000,0.138,0.0,3.32,0.133
50070000700000040050000000,0.0,0.0,0.0,0.0
50070000800000010010000000,1.731,2.8,9.507,0.533
50070000800000010020000000,0.318,0.0,8.0,0.233
50070000800000010030000000,0.354,0.0,9.253,0.333
50070000800000010040000000,0.502,0.0,3.32,0.167
50070000800000010060000000,0.0,0.0,0.0,0.0
50070000800000010070000000,0.138,0.0,0.8,0.1
50070000800000040030000000,0.276,0.0,8.76,0.233
50070000800000040050000000,0.127,0.0,0.28,0.1
50070000800000040060000000,0.138,0.0,0.0,0.067
50070000800000040070000000,0.913,3.9,9.76,0.6
50070000800000040080000000,0.628,0.0,2.8,0.133
50070000800000050010000000,0.0,0.0,0.0,0.0
50070000800000050020000000,0.138,0.0,0.0,0.067
50070000800000050030000000,0.318,0.0,8.0,0.2
50070000800000050040000000,0.138,0.0,0.0,0.067
50070000800000050050000000,0.18,0.0,0.8,0.1
50070000800000050060000000,0.19,0.0,8.207,0.133
50070000800000050070000000,0.216,0.0,8.0,0.167
50070000800000050080000000,0.18,0.0,3.32,0.133
50070000800000050090000000,0.138,0.0,0.0,0.067
50070000800000050100000000,0.138,0.0,0.0,0.067
50070000800000050110000000,0.138,0.0,8.0,0.2
50070000800000060020000000,0.138,0.0,0.5,0.1
50070000800000060030000000,0.276,0.0,8.0,0.233
50070000800000060040000000,0.127,0.0,0.0,0.0
50070000900000010030000000,0.0,0.0,0.0,0.0
50070000900000010050000000,0.138,0.0,0.0,0.033
50070000900000010060000000,0.138,0.0,0.0,0.067
50070000900000010070000000,0.138,0.0,0.0,0.033
50070000900000010080000000,0.216,0.0,8.0,0.133
50070000900000020020000000,1.134,0.0,9.4,0.433
50070000900000020050000000,1.173,0.0,9.48,0.3
50070000900000030010000000,0.127,0.0,0.0,0.033
50070000900000030020000000,0.0,0.0,0.0,0.0
50070000900000030030000000,0.138,0.0,1.4,0.133
50070000900000030040000000,0.276,0.0,8.0,0.3
50070000900000030050000000,0.138,0.0,5.3,0.2
50070000900000030060000000,0.138,0.0,0.0,0.033
50070000900000030070000000,0.276,0.0,0.28,0.1
50070000900000030080000000,0.138,0.0,8.0,0.133
50070000900000030090000000,0.138,0.0,0.0,0.067
50070000900000030100000000,0.0,0.0,0.0,0.0
50070000900000030110010000,0.754,0.0,8.0,0.267
50070000900000030110020000,0.76,0.0,8.259,0.233
50070000900000040010000000,0.0,0.0,0.0,0.0
50070000900000040020000000,0.377,0.0,5.3,0.167
50070000900000040030000000,0.0,0.0,0.0,0.0
50070000900000040070000000,0.138,0.0,0.28,0.1
50070000900000040090000000,0.138,0.0,0.8,0.1
50070000900000040110000000,0.138,0.0,0.0,0.067
50070000900000040120000000,0.0,0.0,0.0,0.0
50070000900000040130000000,0.138,0.0,0.0,0.033
50070000900000060010000000,1.758,3.9,16.0,0.7
50070000900000060020000000,0.495,0.0,8.14,0.233
50070000900000060060000000,1.604,8.633,16.625,0.767
50070000900000060070000000,8.316,21.347,25.616,0.967
50070000900000060080000000,1.456,8.0,16.0,0.733
50070000900000060090000000,0.96,8.0,16.0,0.8
50070000900000060120000000,14.083,22.889,28.26,1.0
50070000900000060150000000,1.454,0.0,16.0,0.4
50070000900000060160000000,1.049,8.0,13.193,0.733
50070001000000010010000000,0.354,0.0,8.0,0.233
50070001000000010030000000,0.138,0.0,0.0,0.067
50070001000000010050000000,1.039,0.0,9.4,0.267
50070001000000010060000000,0.138,0.0,1.54,0.133
50070001000000010070000000,0.354,0.0,9.504,0.333
50070001000000010080000000,0.0,0.0,0.0,0.0
50070001000000010090000000,0.138,0.0,3.32,0.167
50070001000000010100000000,0.18,0.0,5.3,0.167
50070001000000010110000000,0.0,0.0,0.0,0.0
50070001000000010120000000,0.276,0.0,8.0,0.3
50070001000000020020000000,0.0,0.0,0.0,0.0
50070001000000020030000000,0.288,0.0,8.0,0.267
50070001000000020040000000,0.18,0.0,2.8,0.167
50070001000000030010000000,0.0,0.0,0.0,0.0
50070001000000030020000000,0.138,0.0,3.32,0.167
50070001000000030040000000,0.354,0.0,8.083,0.333
50070001000000030050000000,0.276,0.0,5.3,0.2
50070001000000030060000000,0.276,0.0,8.0,0.133
50070001000000030090000000,0.138,0.0,8.0,0.233
50070001100000010010000000,0.436,0.0,8.619,0.4
50070001100000010020000000,0.422,0.0,8.0,0.333
50070001100000020010000000,0.788,0.0,12.925,0.267
50070001100000030030020000,0.464,0.0,11.147,0.367
50070001100000030060000000,0.456,0.0,8.0,0.267
50070001100000030070000000,0.464,0.0,10.477,0.433
50070001100000030080000000,0.366,0.0,8.38,0.167
50070001100000030090000000,0.464,0.0,8.14,0.433
50070001100000030110000000,0.464,0.0,15.04,0.3
50070001200000020040000000,0.863,0.0,8.265,0.233
50070001200000020050000000,0.215,0.0,8.409,0.3
50070001200000020060000000,0.776,0.0,14.449,0.367
50070001200000020070000000,0.623,0.0,13.073,0.4
50070001200000020080000000,0.356,0.0,8.0,0.133
50070001200000020090000000,0.998,8.0,16.0,0.6
50070001200000020100000000,0.516,0.0,8.0,0.267
50070001200000020110000000,0.695,0.0,16.0,0.467
50070001200000020120000000,0.695,0.0,8.8,0.433
50070001200000020130000000,0.509,0.0,8.0,0.367
50070001200000020140000000,0.215,0.0,8.0,0.3
50070001200000020150000000,0.509,0.0,8.231,0.367
50070001200000020160000000,0.473,0.0,8.0,0.333
50070001200000020170000000,0.814,1.4,16.072,0.5
50070001200000020180000000,0.394,0.0,0.8,0.1
50070001200000030010000000,0.401,1.4,8.328,0.5
50070001200000030020000000,0.814,0.0,13.214,0.4
50070001200000030030010000,5.516,22.77,28.919,1.0
50070001200000030030020000,5.368,24.0,27.812,1.0
50070001200000030040000000,0.747,0.0,11.8,0.433
50070001200000030050000000,0.876,2.1,14.2,0.533
50070001200000030060000000,0.999,1.4,16.0,0.533
50070001200000030070000000,1.245,8.7,16.1,0.8
50070001200000030080000000,0.405,0.0,8.0,0.233
50070001200000030120000000,1.061,0.0,13.194,0.467
50070001200000030130000000,0.51,0.0,13.179,0.333
50070001200000030140000000,0.356,0.0,8.0,0.267
50070001200000030150000000,0.851,0.0,14.2,0.3
50070001200000030160000000,0.356,0.0,8.0,0.233
50070001200000040010000000,0.201,0.0,2.06,0.133
50070001200000040020000000,0.473,0.0,8.0,0.4
50070001200000040030000000,0.616,0.0,8.0,0.4
50070001200000040040000000,0.785,0.0,12.72,0.4
50070001200000040050000000,0.51,0.0,8.0,0.233
50070001200000040060000000,0.0,0.0,0.0,0.0
50070001200000040070000000,0.616,0.0,13.3,0.467
50070001200000040080000000,0.653,0.0,16.0,0.467
50070001200000040090000000,0.616,0.0,8.0,0.433
50070001200000040100000000,0.201,0.0,8.0,0.133
50070001200000040110000000,0.623,3.2,15.538,0.5
50070001200000050010000000,0.635,0.0,8.0,0.3
50070001200000050020000000,0.659,0.0,11.62,0.367
50070001200000050040000000,0.56,0.0,8.0,0.233
50070001200000050060000000,0.0,0.0,0.0,0.0
50070001200000050080000000,0.776,0.7,8.0,0.5
50070001200000050090000000,0.556,0.0,8.2,0.267
50070001200000050100000000,1.061,8.0,16.135,0.667
50070001200000050110000000,0.516,0.0,8.0,0.333
50070001200000060010000000,0.814,0.0,15.64,0.433
50070001200000060020000000,0.733,0.0,10.257,0.467
50070001200000060030000000,0.801,6.5,15.76,0.7
50070001200000060040000000,0.356,0.0,0.0,0.067
50070001200000060050000000,0.634,0.0,8.0,0.167
50070001200000060060000000,1.067,8.0,13.0,0.7
50070001200000060070000000,0.215,0.0,8.0,0.167
50070001200000060080000000,0.24,0.0,0.8,0.1
50070001200000060090000000,0.623,0.0,8.0,0.167
50070001200000060100000000,0.56,0.0,8.0,0.333
50070001200000060110000000,0.401,0.0,8.0,0.333
50070001200000060120000000,0.401,2.1,11.912,0.533
50070001200000060130010000,0.201,0.0,0.8,0.1
50070001200000060130020000,0.469,0.0,8.0,0.233
50070001200000060140000000,0.782,0.0,11.654,0.4
50070001200000060150000000,0.473,2.8,8.573,0.567
50070001200000080010000000,1.351,3.9,11.749,0.533
50070001300000010050000000,1.023,3.9,8.14,0.633
50070001300000010060000000,0.237,0.0,3.32,0.167
50070001300000010080000000,0.0,0.0,0.0,0.0
50070001300000010090000000,0.623,2.5,9.86,0.5
50070001300000010100000000,0.401,0.0,8.0,0.233
50070001300000010110000000,0.659,0.0,8.788,0.3
50070001300000010120000000,0.342,0.0,8.0,0.333
50070001300000010130010000,0.375,0.0,8.0,0.367
50070001300000010130020000,0.623,1.4,16.0,0.5
50070001300000010140000000,0.258,0.0,2.8,0.133
50070001300000020030000000,1.252,8.0,16.0,0.767
50070001300000020040000000,0.664,0.0,9.76,0.3
50070001300000020050000000,1.042,8.0,16.0,0.633
50070001300000020060000000,0.623,2.1,12.924,0.533
50070001300000020100000000,0.258,0.0,8.0,0.267
50070001300000020110000000,0.659,0.0,8.0,0.433
50070001300000020120000000,0.838,6.5,16.0,0.567
50070001300000020130000000,0.998,8.0,16.0,0.733
50070001300000020140000000,1.245,8.0,16.14,0.8
50070001300000020150000000,0.959,2.8,16.0,0.567
50070001300000020170000000,0.553,0.0,12.366,0.433
50070001300000020180000000,0.215,0.0,8.0,0.267
50070001300000020200010000,0.701,0.0,8.619,0.467
50070001300000020200020000,0.838,0.7,11.131,0.5
50070001300000030010000000,0.258,0.0,8.0,0.267
50070001300000030020000000,0.474,0.0,8.0,0.267
50070001300000030030000000,0.438,0.0,8.0,0.233
50070001300000030040000000,0.636,0.0,13.288,0.4
50070001300000030050000000,1.023,8.0,16.0,0.6
50070001300000030060000000,0.356,0.0,0.0,0.0
50070001300000030070000000,0.917,1.4,14.489,0.5
50070001300000030080000000,0.659,0.0,8.6,0.4
50070001300000030090000000,0.838,1.307,16.0,0.5
50070001300000030100000000,0.814,0.0,16.0,0.433
50070001300000030110000000,0.0,0.0,0.0,0.0
50070001300000030120000000,0.237,0.0,8.0,0.133
50070001300000030130000000,0.28,0.0,9.401,0.267
50070001300000030140000000,0.215,0.0,8.0,0.133
50070001300000030150000000,0.215,0.0,8.0,0.2
50070001300000030160000000,0.516,0.0,8.0,0.433
50070001300000030170000000,0.201,0.0,1.442,0.133
50070001300000030180000000,0.0,0.0,0.0,0.0
50070001300000030190000000,0.401,0.0,8.573,0.267
50070001300000030200000000,0.623,0.0,13.3,0.4
50070001300000030210000000,0.659,0.0,8.0,0.367
50070001400000010020000000,0.215,0.0,8.0,0.2
50070001400000010030000000,0.776,1.4,14.566,0.5
50070001400000010040000000,0.623,0.0,14.36,0.4
50070001400000010050000000,0.438,0.0,9.393,0.367
50070001400000010060000000,1.072,5.4,11.012,0.533
50070001400000010070000000,0.215,0.0,0.0,0.067
50070001400000010080000000,0.998,8.0,16.0,0.633
50070001400000010090000000,0.28,0.0,8.76,0.233
50070001400000010100000000,1.61,8.0,17.4,0.767
50070001400000010110000000,0.616,0.94,15.76,0.5
50070001400000010120000000,0.342,0.0,8.0,0.233
50070001400000010130000000,0.0,0.0,0.0,0.0
50070001400000010140000000,1.114,8.0,14.427,0.667
50070001400000010150000000,0.294,0.0,8.0,0.167
50070001400000020010000000,0.623,0.0,15.896,0.467
50070001400000020020000000,0.215,0.0,5.3,0.167
50070001400000020030000000,0.67,2.8,11.293,0.533
50070001400000020040000000,1.426,9.273,16.14,0.833
50070001400000020050000000,1.245,8.0,17.447,0.7
50070001400000020060000000,0.625,0.0,8.414,0.233
50070001400000020080000000,0.356,0.0,8.0,0.2
50070001400000020100000000,0.697,0.0,13.007,0.3
50070001400000020110000000,0.625,0.0,8.0,0.233
50070001400000020120000000,0.851,0.0,16.0,0.4
50070001400000020130000000,0.237,0.0,0.0,0.067
50070001400000020140000000,0.438,0.0,8.414,0.433
50070001400000020150000000,0.776,2.8,15.64,0.533
50070001400000020160000000,0.925,2.8,16.0,0.533
50070001400000020170000000,0.659,0.0,8.556,0.333
50070001400000020180000000,0.438,0.0,9.518,0.4
50070001400000020190000000,0.516,0.0,8.244,0.367
50070001400000020200000000,0.28,0.0,3.02,0.167
50070001400000020210000000,0.623,1.4,13.347,0.5
50070001400000020220000000,0.616,0.0,8.0,0.233
50070001400000030010000000,0.56,0.0,8.0,0.367
50070001400000030030000000,0.543,0.0,8.0,0.333
50070001400000030040000000,0.258,0.0,8.115,0.2
50070001400000030050000000,0.659,0.0,8.0,0.233
50070001400000030060000000,0.28,0.0,1.54,0.133
50070001400000030070000000,0.401,0.0,0.28,0.1
50070001400000030080000000,0.24,0.0,5.3,0.133
50070001400000030090000000,1.282,8.0,16.0,0.633
50070001400000030100000000,0.988,8.0,16.0,0.667
50070001400000030110000000,0.215,0.0,5.3,0.2
50070001400000030120000000,0.0,0.0,0.0,0.0
50070001400000030130000000,0.401,0.0,8.0,0.333
50070001400000030140000000,0.917,5.0,16.0,0.567
50070001400000030150000000,0.623,0.0,11.187,0.4
50070001400000030160000000,0.215,0.0,3.32,0.133
50070001400000030170000000,0.559,0.0,9.831,0.3
50070001400000030180000000,0.623,0.0,13.334,0.4
50070001400000030190000000,0.664,0.0,8.0,0.367
50070001400000030200000000,0.659,0.0,10.023,0.433
50070001400000040050000000,0.904,0.0,8.244,0.367
50070001400000040060000000,0.881,3.2,16.0,0.533
50070001400000040070000000,0.27,0.0,8.0,0.2
50070001400000040080000000,1.07,2.8,16.0,0.533
50070001400000040090000000,0.56,0.0,8.0,0.3
50070001400000040100000000,0.215,0.0,8.0,0.233
50070001400000040110000000,0.0,0.0,0.0,0.0
50070001400000040120000000,0.553,0.0,8.44,0.267
50070001400000040140000000,1.072,8.0,16.0,0.733
50070001400000040150000000,0.623,0.0,15.52,0.367
50070001400000050010000000,1.023,5.0,16.0,0.6
50070001400000050020000000,1.214,8.0,16.0,0.8
50070001400000050030000000,1.023,6.5,16.0,0.633
50070001400000050040000000,0.623,0.0,8.773,0.233
50070001400000050050000000,0.75,0.0,8.493,0.233
50070001400000050060000000,0.625,0.0,8.0,0.333
